チーム名,背番号,選手名,投打
巨人,11,田中　将大,右右
巨人,15,(翁田)大勢,右右
巨人,17,西舘　勇陽,右右
巨人,19,山﨑　伊織,右左
巨人,20,戸郷　翔征,右右
巨人,26,今村　信貴,左左
巨人,28,高橋　礼,右右
巨人,29,F.グリフィン,左左
巨人,30,近藤　大亮,右右
巨人,31,赤星　優志,右右
巨人,33,K.ケラー,右右
巨人,36,馬場　皐輔,右右
巨人,41,中川　皓太,左左
巨人,45,田中　瑛斗,右左
巨人,46,又木　鉄平,左左
巨人,47,森田　駿哉,左左
巨人,48,田中　千晴,右右
巨人,49,A.バルドナード,左左
巨人,53,高梨　雄平,左左
巨人,57,宮原　駿介,左左
巨人,58,船迫　大雅,右左
巨人,62,横川　凱,左左
巨人,63,泉　圭輔,右右
巨人,64,山田　龍聖,左左
巨人,64,大江　竜聖,左左
巨人,65,石川　達也,左右
巨人,66,平内　龍太,右右
巨人,68,菊地　大稀,右左
巨人,90,石田　充冴,右右
巨人,91,堀田　賢慎,右右
巨人,92,R.マルティネス,右左
巨人,95,戸田　懐生,右右
巨人,97,井上　温大,左左
巨人,99,京本　眞,右右
巨人,10,甲斐　拓也,右右
巨人,22,小林　誠司,右右
巨人,24,大城　卓三,右左
巨人,27,岸田　行倫,右右
巨人,37,郡　拓也,右右
巨人,67,山瀬　慎之助,右右
巨人,94,喜多　隆介,右右
巨人,00,湯浅　大,右右
巨人,0,増田　大輝,右右
巨人,2,吉川　尚輝,右左
巨人,5,門脇　誠,右左
巨人,6,坂本　勇人,右右
巨人,23,石塚　裕惺,右右
巨人,25,岡本　和真,右右
巨人,32,浦田　俊輔,右左
巨人,35,泉口　友汰,右左
巨人,40,中山　礼都,右左
巨人,52,(砂川)リチャード,右右
巨人,55,秋広　優人,右左
巨人,60,荒巻　悠,右左
巨人,61,増田　陸,右右
巨人,7,長野　久義,右右
巨人,8,丸　佳浩,右左
巨人,12,萩尾　匡也,右右
巨人,13,T.キャベッジ,右左
