feature,importance_gain,importance_split
batter_id,93665.68798479064,27977
pitcher_id,91509.42546862792,28946
pitcher_k9,10792.7463296262,13927
batter_iso,10598.097400458002,11706
pitcher_ops,10516.134688052849,12393
batter_obp,10401.038898853807,12318
batter_avg,9709.3023084217,11482
previous_result4,9476.79311902728,5179
previous_result3,8877.161398220807,4976
batter_slg,8724.385890406731,10075
batter_ops,8571.430961155664,9883
pitcher_era,8505.826085079701,10198
pitcher_whip,8461.98444867317,10480
previous_result1,8142.153188976459,4598
previous_result5,8126.882947646547,4851
previous_result2,7979.639384641312,4605
vs_ops,7903.393636436795,9778
inning,6914.356469314198,7646
bat_order,6163.37856640005,4818
score_diff,5064.258369746801,6760
out_count,3191.3603365542367,2120
stadium_id,878.0339470040053,629
runner1,705.2068033982068,586
runner2,690.7686434756033,598
batter_hand,538.3673107214272,215
Home_Away_id,395.4906026124954,255
runner3,206.91163314506412,231
pitcher_hand,120.38421458005905,70
top_bottom,101.95455275475979,50
