feature,train_unique
batter_id,439
pitcher_id,328
previous_result1,88
previous_result2,88
previous_result3,88
previous_result4,88
previous_result5,88
vs_xbh_rate_bin,60
vs_bb_rate_bin,55
vs_hr_rate_bin,42
inning_out_state,36
bat_order_runner_state,36
stadium_id,32
base_out_state,24
batter_team_id,12
pitcher_team_id,12
batter_xbh_rate_bin,6
batter_recent_5pa_ops_bin,6
batter_recent_10pa_avg_bin,6
batter_recent_10pa_ops_bin,6
pitcher_recent_bf_avg_bin,6
pitcher_recent_bf_ops_bin,6
batter_groundout_rate_bin,6
month_bin,6
batter_k_rate_bin,6
batter_bb_rate_bin,6
batter_out_rate_bin,6
batter_pa_count_bin,6
pitcher_k_rate_bin,6
pitcher_bb_rate_bin,6
pitcher_xbh_rate_allowed_bin,6
pitcher_bf_count_bin,6
batter_hit_rate_bin,6
pitcher_vs_lhb_avg_bin,6
pitcher_hit_rate_allowed_bin,6
pitcher_out_rate_bin,6
batter_onbase_event_rate_bin,6
pitcher_onbase_event_rate_allowed_bin,6
pitcher_vs_lhb_ops_bin,6
batter_vs_lhp_avg_bin,6
pitcher_vs_rhb_ops_bin,6
pitcher_flyout_rate_bin,6
batter_avg_bin,6
batter_ops_bin,6
batter_obp_bin,6
pitcher_vs_rhb_avg_bin,6
batter_slg_bin,6
batter_iso_bin,6
pitcher_groundout_rate_bin,6
pitcher_era_bin,6
pitcher_k9_bin,6
batter_flyout_rate_bin,6
pitcher_whip_bin,6
pitcher_ops_bin,6
batter_vs_rhp_avg_bin,6
batter_vs_rhp_ops_bin,6
batter_vs_lhp_ops_bin,6
pitcher_gdp_rate_bin,5
days_since_last_game_batter_bin,5
days_since_last_game_pitcher_bin,5
batter_gdp_rate_bin,5
batter_hr_rate_bin,5
pitcher_hr_rate_bin,5
score_diff_bin,5
pitcher_recent_bf_k_rate_bin,5
batter_recent_10pa_k_rate_bin,5
batting_turn_in_game_bin,4
runner_count_bin,4
inning_bin,4
pitcher_bf_in_game_bin,4
vs_ops_bin,4
pitcher_batter_times_faced_in_game_bin,4
vs_hit_rate_bin,4
batter_recent_10pa_bb_rate_bin,3
vs_k_rate_bin,3
pitcher_recent_bf_bb_rate_bin,3
batter_hand,3
bat_order_bin,3
vs_pa_count_bin,3
out_count_bin,3
season_progress_bin,3
runner3_bin,2
runner2_bin,2
runner1_bin,2
is_leadoff_batter_in_inning_bin,2
top_bottom_bin,2
is_two_out_bin,2
is_cleanup_bin,2
is_bottom_order_bin,2
pitcher_hand,2
is_no_out_runner_on_bin,2
Home_Away_id,2
is_interleague_bin,2
