feature,feature_type
batter_id,categorical
pitcher_id,categorical
stadium_id,categorical
Home_Away_id,categorical
batter_hand,categorical
pitcher_hand,categorical
previous_result1,categorical
previous_result2,categorical
previous_result3,categorical
previous_result4,categorical
previous_result5,categorical
base_out_state,categorical
inning_out_state,categorical
bat_order_runner_state,categorical
batter_team_id,categorical
pitcher_team_id,categorical
bat_order_bin,categorical
inning_bin,categorical
top_bottom_bin,categorical
out_count_bin,categorical
runner1_bin,categorical
runner2_bin,categorical
runner3_bin,categorical
score_diff_bin,categorical
batter_avg_bin,categorical
batter_ops_bin,categorical
batter_obp_bin,categorical
batter_slg_bin,categorical
batter_iso_bin,categorical
pitcher_era_bin,categorical
pitcher_k9_bin,categorical
pitcher_whip_bin,categorical
pitcher_ops_bin,categorical
vs_ops_bin,categorical
batter_vs_rhp_avg_bin,categorical
batter_vs_rhp_ops_bin,categorical
batter_vs_lhp_avg_bin,categorical
batter_vs_lhp_ops_bin,categorical
pitcher_vs_rhb_avg_bin,categorical
pitcher_vs_rhb_ops_bin,categorical
pitcher_vs_lhb_avg_bin,categorical
pitcher_vs_lhb_ops_bin,categorical
batter_recent_5pa_ops_bin,categorical
batter_recent_10pa_avg_bin,categorical
batter_recent_10pa_ops_bin,categorical
batter_recent_10pa_k_rate_bin,categorical
batter_recent_10pa_bb_rate_bin,categorical
pitcher_recent_bf_avg_bin,categorical
pitcher_recent_bf_ops_bin,categorical
pitcher_recent_bf_k_rate_bin,categorical
pitcher_recent_bf_bb_rate_bin,categorical
runner_count_bin,categorical
is_leadoff_batter_in_inning_bin,categorical
batting_turn_in_game_bin,categorical
batter_k_rate_bin,categorical
batter_bb_rate_bin,categorical
batter_hr_rate_bin,categorical
batter_xbh_rate_bin,categorical
batter_pa_count_bin,categorical
pitcher_k_rate_bin,categorical
pitcher_bb_rate_bin,categorical
pitcher_hr_rate_bin,categorical
pitcher_xbh_rate_allowed_bin,categorical
pitcher_bf_count_bin,categorical
batter_hit_rate_bin,categorical
batter_out_rate_bin,categorical
pitcher_hit_rate_allowed_bin,categorical
pitcher_out_rate_bin,categorical
pitcher_bf_in_game_bin,categorical
batter_onbase_event_rate_bin,categorical
pitcher_onbase_event_rate_allowed_bin,categorical
vs_pa_count_bin,categorical
vs_hit_rate_bin,categorical
vs_k_rate_bin,categorical
vs_bb_rate_bin,categorical
vs_xbh_rate_bin,categorical
is_no_out_runner_on_bin,categorical
is_two_out_bin,categorical
month_bin,categorical
batter_groundout_rate_bin,categorical
batter_flyout_rate_bin,categorical
batter_gdp_rate_bin,categorical
pitcher_groundout_rate_bin,categorical
pitcher_flyout_rate_bin,categorical
pitcher_gdp_rate_bin,categorical
vs_hr_rate_bin,categorical
is_cleanup_bin,categorical
is_bottom_order_bin,categorical
days_since_last_game_batter_bin,categorical
days_since_last_game_pitcher_bin,categorical
pitcher_batter_times_faced_in_game_bin,categorical
is_interleague_bin,categorical
season_progress_bin,categorical
