feature,feature_type
batter_id,categorical
pitcher_id,categorical
stadium_id,categorical
Home_Away_id,categorical
batter_hand,categorical
pitcher_hand,categorical
previous_result1,categorical
previous_result2,categorical
previous_result3,categorical
previous_result4,categorical
previous_result5,categorical
base_out_state,categorical
inning_out_state,categorical
bat_order_runner_state,categorical
batter_team_id,categorical
pitcher_team_id,categorical
bat_order,numeric
inning,numeric
top_bottom,numeric
out_count,numeric
runner1,numeric
runner2,numeric
runner3,numeric
score_diff,numeric
batter_avg,numeric
batter_ops,numeric
batter_obp,numeric
batter_slg,numeric
batter_iso,numeric
pitcher_era,numeric
pitcher_k9,numeric
pitcher_whip,numeric
pitcher_ops,numeric
vs_ops,numeric
batter_vs_rhp_avg,numeric
batter_vs_rhp_ops,numeric
batter_vs_lhp_avg,numeric
batter_vs_lhp_ops,numeric
pitcher_vs_rhb_avg,numeric
pitcher_vs_rhb_ops,numeric
pitcher_vs_lhb_avg,numeric
pitcher_vs_lhb_ops,numeric
batter_recent_5pa_ops,numeric
batter_recent_10pa_avg,numeric
batter_recent_10pa_ops,numeric
batter_recent_10pa_k_rate,numeric
batter_recent_10pa_bb_rate,numeric
pitcher_recent_bf_avg,numeric
pitcher_recent_bf_ops,numeric
pitcher_recent_bf_k_rate,numeric
pitcher_recent_bf_bb_rate,numeric
runner_count,numeric
is_leadoff_batter_in_inning,numeric
batting_turn_in_game,numeric
batter_k_rate,numeric
batter_bb_rate,numeric
batter_hr_rate,numeric
batter_xbh_rate,numeric
batter_pa_count,numeric
pitcher_k_rate,numeric
pitcher_bb_rate,numeric
pitcher_hr_rate,numeric
pitcher_xbh_rate_allowed,numeric
pitcher_bf_count,numeric
batter_hit_rate,numeric
batter_out_rate,numeric
pitcher_hit_rate_allowed,numeric
pitcher_out_rate,numeric
pitcher_bf_in_game,numeric
batter_onbase_event_rate,numeric
pitcher_onbase_event_rate_allowed,numeric
vs_pa_count,numeric
vs_hit_rate,numeric
vs_k_rate,numeric
vs_bb_rate,numeric
vs_xbh_rate,numeric
is_no_out_runner_on,numeric
is_two_out,numeric
month,numeric
batter_groundout_rate,numeric
batter_flyout_rate,numeric
batter_gdp_rate,numeric
pitcher_groundout_rate,numeric
pitcher_flyout_rate,numeric
pitcher_gdp_rate,numeric
vs_hr_rate,numeric
is_cleanup,numeric
is_bottom_order,numeric
days_since_last_game_batter,numeric
days_since_last_game_pitcher,numeric
pitcher_batter_times_faced_in_game,numeric
is_interleague,numeric
season_progress,numeric
