feature,importance_gain,importance_split
pitcher_id,89078.74160170555,2803
batter_id,87942.97780442238,2241
bat_order,12800.846117019653,344
previous_result4,11714.106961250305,740
previous_result5,10139.10762834549,635
previous_result1,10013.421617746353,620
previous_result3,9924.842739105225,632
previous_result2,9369.573553085327,552
pitcher_k9,8755.514223098755,671
batter_iso,8129.338629484177,622
pitcher_ops,8122.679452061653,661
batter_obp,7996.601233482361,611
batter_avg,7568.693680763245,586
batter_ops,7121.570099592209,526
pitcher_era,6504.466066837311,509
batter_slg,6440.278654336929,495
pitcher_whip,6295.004239201546,490
out_count,5507.888828277588,232
inning,5368.231928229332,428
vs_ops,4344.134593963623,372
score_diff,3379.7666993141174,272
stadium_id,1837.8204565048218,110
runner2,791.908938407898,64
runner1,749.7079043388367,55
Home_Away_id,554.3261709213257,44
batter_hand,333.28425121307373,23
runner3,243.11299085617065,20
pitcher_hand,155.33770036697388,12
top_bottom,64.4496202468872,6
