feature,importance_gain,importance_split
pitcher_id,116796.8543214798,4595
batter_id,115596.28659009933,4264
bat_order,18273.490111351013,197
previous_result5,12862.838488578796,907
previous_result1,12595.603334903717,888
previous_result4,12482.056547164917,859
previous_result3,12240.92224740982,857
previous_result2,11985.016852855682,826
out_count,8636.70600605011,226
batter_k_rate,3422.7928504943848,139
is_leadoff_batter_in_inning,2470.3052978515625,80
runner_count,2331.0122175216675,79
pitcher_k_rate,2164.3051719665527,136
batter_bb_rate,1973.862359046936,143
pitcher_bb_rate,1866.0455055236816,152
batter_pa_count,1728.5369968414307,140
inning,1571.2426443099976,101
pitcher_bf_count,1400.2427701950073,118
batter_avg,1382.2991104125977,110
stadium_id,1319.8168110847473,111
batter_vs_rhp_ops,1313.0429902076721,106
pitcher_k9,1272.3065328598022,99
batter_obp,1222.5631799697876,98
pitcher_vs_lhb_ops,1182.268117904663,96
pitcher_recent_bf_ops,1181.4107327461243,95
batter_vs_rhp_avg,1110.9123992919922,88
pitcher_vs_rhb_ops,1102.3474321365356,91
batter_iso,1077.0239562988281,87
batter_recent_10pa_ops,1051.9682607650757,88
pitcher_vs_rhb_avg,1013.7942790985107,82
batter_ops,986.2319002151489,74
batting_turn_in_game,975.546395778656,62
pitcher_vs_lhb_avg,973.137327671051,78
batter_xbh_rate,884.9393329620361,70
pitcher_whip,858.2850122451782,72
batter_vs_lhp_ops,845.0336322784424,69
batter_slg,843.2725696563721,69
batter_hr_rate,832.85023021698,66
pitcher_era,814.3421297073364,66
pitcher_xbh_rate_allowed,785.9922561645508,66
runner1,751.7105264663696,31
pitcher_ops,751.2996215820312,62
vs_ops,676.4318523406982,54
pitcher_hr_rate,605.3242511749268,50
batter_vs_lhp_avg,600.8336896896362,48
batter_recent_5pa_ops,593.4819974899292,50
pitcher_recent_bf_avg,590.8841514587402,48
score_diff,486.72691917419434,38
batter_recent_10pa_avg,461.42972230911255,40
runner2,418.42999935150146,29
batter_recent_10pa_k_rate,401.7305603027344,32
pitcher_recent_bf_k_rate,378.4688091278076,31
pitcher_recent_bf_bb_rate,257.2373399734497,20
batter_recent_10pa_bb_rate,248.98237705230713,20
pitcher_hand,42.62580966949463,4
runner3,27.904300689697266,2
Home_Away_id,13.22070026397705,1
batter_hand,12.824799537658691,1
top_bottom,12.138999938964844,1
