feature,importance_gain,importance_split
batter_id,726880.6915154457,34628
pitcher_id,706366.8851207495,33648
previous_result4,86866.16752672195,6749
previous_result5,85470.46376776695,6679
previous_result3,81542.15036082268,6386
previous_result2,80982.43685722351,6380
previous_result1,78865.41800308228,6257
base_out_state,25101.208317160606,1179
bat_order,19193.243337869644,535
pitcher_xbh_rate_allowed,7454.362992167473,650
pitcher_bf_count,7439.6928741931915,852
batter_xbh_rate,7356.999563694,572
out_count,6892.979001283646,231
stadium_id,6793.546259880066,681
batter_pa_count,6564.3177852630615,718
vs_ops,6048.461997628212,783
pitcher_bb_rate,5829.9111223220825,644
batter_k_rate,5525.168474674225,518
batter_out_rate,5263.781073689461,588
pitcher_out_rate,5223.635749340057,663
pitcher_hit_rate_allowed,5108.525758266449,593
batter_bb_rate,4726.20919752121,495
batter_hit_rate,4616.611747264862,553
batter_avg,4495.000707030296,495
pitcher_recent_bf_ops,4472.027660369873,520
batter_obp,4190.236842513084,448
pitcher_k_rate,4114.590666055679,486
batter_vs_rhp_avg,4096.209468960762,456
pitcher_vs_lhb_avg,4004.9228417873383,453
pitcher_bf_in_game,3996.258064031601,507
is_leadoff_batter_in_inning,3964.6736166477203,209
runner_count,3927.036556005478,105
batter_vs_rhp_ops,3918.530258536339,403
pitcher_k9,3898.066821217537,493
batter_recent_10pa_ops,3538.543060541153,387
batter_iso,3393.8879829645157,336
pitcher_vs_lhb_ops,3387.8517808914185,403
batter_slg,3282.1703382730484,325
batter_ops,3239.856667280197,309
pitcher_era,3172.74888420105,370
pitcher_ops,3112.4797701835632,369
pitcher_vs_rhb_ops,3090.3754423856735,344
batter_vs_lhp_ops,2918.3786885738373,351
pitcher_hr_rate,2876.472765684128,338
pitcher_vs_rhb_avg,2855.4244052171707,366
batter_vs_lhp_avg,2612.9794878959656,307
pitcher_whip,2583.4783107042313,315
inning,2577.502848982811,259
batter_hr_rate,2563.5541418790817,257
pitcher_recent_bf_avg,2483.357055902481,275
score_diff,2290.3945322036743,233
batter_recent_5pa_ops,1935.729299902916,223
batter_recent_10pa_avg,1515.4960687160492,187
pitcher_recent_bf_k_rate,1271.3924602270126,153
batting_turn_in_game,1259.329214334488,130
batter_recent_10pa_k_rate,904.5471642017365,122
pitcher_recent_bf_bb_rate,658.3325505256653,76
batter_recent_10pa_bb_rate,450.60880863666534,54
runner1,369.13373279571533,26
Home_Away_id,248.36609840393066,26
runner2,179.69403982162476,16
pitcher_hand,80.12074112892151,7
batter_hand,69.14609003067017,7
runner3,40.327659368515015,6
top_bottom,31.18054986000061,6
