feature,importance_gain,importance_split
batter_id,208326.72323989868,8812
pitcher_id,196764.4300546646,8434
previous_result5,24846.934598445892,1733
bat_order,24779.12043428421,337
previous_result4,24480.93759393692,1675
previous_result3,24062.669542074203,1693
previous_result2,23608.320992946625,1678
previous_result1,20955.93320083618,1463
base_out_state,17743.74530315399,417
out_count,12538.122167110443,180
runner_count,7922.827181339264,63
is_leadoff_batter_in_inning,5863.9783635139465,104
pitcher_bf_in_game,2544.6025331020355,208
batter_obp,2054.0225241184235,202
stadium_id,1977.7344572544098,218
vs_ops,1909.637537240982,265
pitcher_bf_count,1900.1245222091675,200
batter_out_rate,1797.1309125423431,202
inning,1661.181229352951,101
pitcher_out_rate,1624.1431312561035,168
pitcher_era,1582.904480457306,158
pitcher_recent_bf_ops,1555.8729271888733,160
pitcher_hit_rate_allowed,1550.2977042198181,170
batter_pa_count,1440.1494607925415,157
batter_hit_rate,1411.8717560768127,165
pitcher_vs_lhb_ops,1410.6713273525238,143
batter_vs_rhp_avg,1358.2737505435944,147
batter_recent_10pa_ops,1272.8991117477417,150
pitcher_whip,1269.6895315647125,123
pitcher_vs_lhb_avg,1267.985263824463,132
pitcher_hr_rate,1228.488398551941,107
batter_avg,1178.8389270305634,127
pitcher_ops,1141.3778426647186,125
pitcher_vs_rhb_avg,1139.8852841854095,136
batter_vs_rhp_ops,1075.8284590244293,129
pitcher_vs_rhb_ops,1033.6029131412506,124
batter_ops,1014.0018773078918,107
pitcher_k_rate,925.8925414085388,104
batter_bb_rate,912.4836483001709,114
batter_vs_lhp_avg,899.7417209148407,109
pitcher_k9,879.4475049972534,113
pitcher_xbh_rate_allowed,875.3529386520386,105
batter_k_rate,870.7387816905975,105
batter_xbh_rate,852.6490387916565,102
batting_turn_in_game,845.7244267463684,53
batter_vs_lhp_ops,833.7002198696136,102
batter_hr_rate,826.7360792160034,73
pitcher_bb_rate,807.0950181484222,98
batter_recent_5pa_ops,620.8947992324829,78
pitcher_recent_bf_avg,571.9077014923096,58
batter_recent_10pa_avg,529.022567987442,65
batter_slg,514.7117590904236,54
batter_iso,507.21131896972656,59
pitcher_recent_bf_k_rate,469.27728152275085,60
score_diff,435.811900138855,55
runner1,258.98324728012085,7
batter_recent_10pa_k_rate,250.6426682472229,31
runner2,233.4995994567871,5
batter_recent_10pa_bb_rate,145.56707954406738,18
pitcher_recent_bf_bb_rate,136.48022031784058,19
runner3,65.21708011627197,5
Home_Away_id,40.309589862823486,6
batter_hand,13.4379301071167,2
pitcher_hand,9.658109903335571,2
top_bottom,5.656109809875488,1
