feature,importance_gain,importance_split
batter_id,69337.4490916729,5090
pitcher_id,64574.10846269131,4940
previous_result4,13887.364741921425,1950
previous_result5,13835.760247707367,1968
previous_result3,13271.082508563995,1818
previous_result1,12481.954326868057,1750
previous_result2,12402.154846310616,1789
pitcher_xbh_rate_allowed,6110.354955673218,936
batter_xbh_rate,4754.227787494659,732
pitcher_bb_rate,4525.750226020813,751
pitcher_bf_count,4179.1651084423065,695
stadium_id,4064.7211833000183,644
base_out_state,3506.250355243683,473
pitcher_hit_rate_allowed,3481.6374480724335,632
batter_pa_count,3474.545659303665,614
batter_bb_rate,3468.2585339546204,605
batter_vs_rhp_avg,3451.6265602111816,587
batter_out_rate,3442.4747276306152,581
pitcher_out_rate,3412.6357872486115,587
batter_hit_rate,3235.859647989273,552
pitcher_recent_bf_ops,3151.2083311080933,572
batter_iso,3092.808767557144,491
batter_vs_rhp_ops,2861.1224274635315,476
pitcher_vs_lhb_ops,2773.828753709793,473
pitcher_vs_rhb_avg,2629.4646356105804,440
batter_avg,2561.703253030777,436
pitcher_bf_in_game,2556.8402891159058,447
batter_k_rate,2529.275795698166,438
pitcher_vs_lhb_avg,2504.643635749817,445
batter_obp,2492.480959892273,429
pitcher_vs_rhb_ops,2465.495798110962,430
pitcher_k9,2433.10929274559,428
batter_recent_10pa_ops,2338.847003221512,422
vs_ops,2316.6506400108337,398
pitcher_hr_rate,2308.059335231781,411
batter_slg,2279.394116163254,381
batter_vs_lhp_ops,2233.082941532135,389
pitcher_k_rate,2231.3500010967255,389
batter_hr_rate,2199.2668693065643,345
pitcher_ops,2175.2333714962006,383
batter_vs_lhp_avg,2133.234566450119,374
batter_ops,2077.642538547516,353
pitcher_era,1998.0143308639526,343
pitcher_whip,1974.9257454872131,341
inning,1775.0790724754333,302
pitcher_recent_bf_avg,1544.2854022979736,267
batter_recent_5pa_ops,1472.8372068405151,258
score_diff,1465.1721818447113,250
batter_recent_10pa_avg,1041.7552819252014,191
pitcher_recent_bf_k_rate,1035.4543583393097,183
bat_order,851.8915095329285,156
batting_turn_in_game,806.8967700004578,130
batter_recent_10pa_k_rate,656.7932486534119,118
pitcher_recent_bf_bb_rate,463.85146021842957,86
batter_recent_10pa_bb_rate,371.491539478302,63
out_count,344.2217905521393,61
runner_count,285.12862849235535,52
Home_Away_id,194.20574164390564,35
runner2,176.64060950279236,28
batter_hand,162.83817195892334,25
runner1,115.91186022758484,20
pitcher_hand,72.4975802898407,10
is_leadoff_batter_in_inning,69.4124596118927,12
runner3,59.27679085731506,9
top_bottom,31.92498016357422,6
