feature,importance_gain,importance_split
batter_id,149218.0033812523,6189
pitcher_id,142297.82655072212,6144
previous_result5,21649.690890073776,1606
previous_result4,21076.63942527771,1548
previous_result3,20600.700825452805,1536
previous_result2,19118.17273902893,1396
previous_result1,18409.561781167984,1345
base_out_state,4896.256325244904,331
batter_k_rate,4292.310371398926,279
pitcher_k_rate,2955.0301213264465,268
batter_pa_count,2780.887593984604,251
pitcher_bf_count,2739.35679936409,267
pitcher_k9,2637.7707571983337,268
stadium_id,2338.8607878684998,239
batter_hit_rate,2146.5926337242126,199
pitcher_bf_in_game,2129.340156316757,192
batter_out_rate,2055.610179424286,191
pitcher_recent_bf_ops,2021.810127735138,197
pitcher_out_rate,1996.2826492786407,199
pitcher_hit_rate_allowed,1769.2946190834045,173
pitcher_vs_lhb_ops,1633.003970861435,157
pitcher_bb_rate,1433.858520746231,140
batter_recent_10pa_ops,1358.4419114589691,136
batter_bb_rate,1335.6582517623901,122
pitcher_vs_rhb_ops,1297.051685333252,125
pitcher_xbh_rate_allowed,1238.4396705627441,132
batter_xbh_rate,1223.7722473144531,116
batter_obp,1209.8696854114532,118
batter_avg,1137.970235824585,115
pitcher_whip,1132.2865993976593,115
pitcher_vs_lhb_avg,1124.7250893115997,109
vs_ops,1076.8385663032532,105
batter_vs_rhp_ops,1073.447695016861,105
batter_slg,1068.6304802894592,113
pitcher_vs_rhb_avg,1026.0555622577667,103
pitcher_ops,1018.115745306015,105
pitcher_hr_rate,985.9297890663147,102
batter_iso,985.9207308292389,93
batter_ops,979.2781133651733,94
pitcher_era,945.524219751358,101
batter_vs_rhp_avg,930.273530960083,94
batter_vs_lhp_ops,921.4613924026489,98
batter_vs_lhp_avg,861.479211807251,88
inning,820.871869802475,76
pitcher_recent_bf_avg,818.0253615379333,79
batter_recent_10pa_avg,755.8147618770599,75
batter_hr_rate,727.593620300293,78
batter_recent_10pa_k_rate,663.3806781768799,78
batter_recent_5pa_ops,600.0738098621368,67
bat_order,580.0076234340668,45
pitcher_recent_bf_k_rate,536.2675957679749,60
out_count,483.149533033371,31
score_diff,380.1024193763733,41
batting_turn_in_game,316.4393789768219,30
pitcher_recent_bf_bb_rate,255.64163160324097,28
batter_recent_10pa_bb_rate,168.5140495300293,18
runner_count,149.65491938591003,16
Home_Away_id,147.15586948394775,12
runner1,67.73239040374756,6
runner2,52.95930004119873,4
pitcher_hand,47.42232131958008,4
runner3,37.83543062210083,4
is_leadoff_batter_in_inning,36.437819480895996,3
batter_hand,26.62872004508972,5
top_bottom,0.0,0
