feature,importance_gain,importance_split
pitcher_id,96113.78339123726,2829
batter_id,96053.47514820099,2370
inning_out_state,14327.637930393219,696
bat_order_runner_state,12136.643264055252,428
bat_order,8436.119268894196,147
previous_result2,7815.565255880356,408
previous_result4,7248.346352100372,389
previous_result5,7197.222946166992,396
previous_result1,6496.15728187561,347
previous_result3,6234.234238147736,331
base_out_state,5045.875525474548,93
batter_k_rate,4920.03365778923,235
batter_xbh_rate,4629.967843055725,243
batter_pa_count,4131.6777139902115,266
batter_bb_rate,4050.445001602173,246
pitcher_xbh_rate_allowed,3813.72059071064,225
batter_hit_rate,3579.669331073761,227
pitcher_k_rate,3540.5574551820755,179
pitcher_bf_count,3532.417799472809,217
batter_out_rate,3464.492366909981,225
pitcher_out_rate,3330.3281989097595,199
pitcher_hr_rate,3248.7834544181824,193
pitcher_bb_rate,3194.4496536254883,209
pitcher_hit_rate_allowed,3177.431979417801,203
pitcher_recent_bf_ops,3165.1104209423065,213
batter_obp,3119.15629196167,177
batter_recent_10pa_ops,3052.396483898163,184
pitcher_k9,3013.7834992408752,180
batter_iso,2966.1976417303085,162
pitcher_bf_in_game,2917.761670589447,185
batter_hr_rate,2840.7260870933533,166
batter_vs_rhp_avg,2795.9271669387817,188
batter_onbase_event_rate,2718.899449110031,165
pitcher_vs_lhb_ops,2643.2059319019318,154
pitcher_vs_lhb_avg,2567.5479216575623,169
pitcher_vs_rhb_avg,2535.4356203079224,148
out_count,2522.974488258362,89
batter_avg,2505.8496038913727,154
batter_ops,2502.976446390152,141
batter_vs_rhp_ops,2450.08741748333,147
batter_vs_lhp_ops,2385.9537155628204,161
pitcher_ops,2339.711245894432,137
batter_slg,2279.808012366295,146
pitcher_onbase_event_rate_allowed,2279.152321577072,138
batter_vs_lhp_avg,2256.218378663063,143
pitcher_vs_rhb_ops,2198.355794429779,136
pitcher_whip,1979.1623504161835,134
is_leadoff_batter_in_inning,1817.1603918075562,55
pitcher_era,1777.6498444080353,111
batter_recent_5pa_ops,1623.0244281291962,111
batter_recent_10pa_avg,1540.953985095024,108
inning,1460.2533566951752,96
pitcher_recent_bf_avg,1455.7413313388824,90
vs_ops,1266.4393119812012,88
score_diff,1172.672510266304,73
batter_recent_10pa_k_rate,1112.0018854141235,70
month,1068.163158416748,67
batting_turn_in_game,889.9720478057861,57
batter_recent_10pa_bb_rate,867.4693515300751,52
pitcher_recent_bf_k_rate,832.7868711948395,46
runner_count,753.8793196678162,34
pitcher_recent_bf_bb_rate,748.1448004245758,48
stadium_id,725.4502973556519,35
vs_k_rate,694.5240054130554,51
vs_hit_rate,689.3334581851959,48
vs_pa_count,677.4420082569122,51
vs_bb_rate,448.1132278442383,39
vs_xbh_rate,432.2247738838196,35
Home_Away_id,394.4611597061157,20
runner2,273.09314012527466,17
is_no_out_runner_on,246.20424914360046,15
runner1,143.94139051437378,8
is_two_out,121.58470153808594,7
batter_hand,106.67455863952637,6
top_bottom,80.05850219726562,5
runner3,77.85229969024658,5
pitcher_hand,25.340299606323242,2
