feature,importance_gain,importance_split
pitcher_id,85299.46395111084,3203
batter_id,76924.35925006866,2768
bat_order_runner_state,27766.224188804626,555
inning_out_state,16184.26620388031,881
bat_order,7887.109359741211,140
previous_result4,7237.591721534729,456
previous_result1,7087.081954956055,449
previous_result3,7036.407654762268,440
previous_result2,6978.064098358154,430
previous_result5,6961.369641304016,454
base_out_state,6057.698615074158,124
out_count,5903.387113571167,103
is_leadoff_batter_in_inning,3981.287609100342,81
pitcher_xbh_rate_allowed,2193.8137578964233,146
batter_xbh_rate,2042.235354423523,138
batter_onbase_event_rate,1418.7535991668701,94
batter_out_rate,1416.774486541748,93
pitcher_bf_count,1368.5478286743164,93
batter_bb_rate,1357.7369956970215,91
is_no_out_runner_on,1260.5704975128174,14
pitcher_bf_in_game,1260.2513542175293,78
batter_vs_rhp_avg,1176.8265571594238,82
batter_k_rate,1169.2731189727783,78
batter_avg,1147.1498975753784,83
batter_iso,1140.1009397506714,75
batter_flyout_rate,1113.8760080337524,75
batter_hit_rate,1087.963565826416,76
batter_pa_count,1083.846046447754,74
pitcher_out_rate,1063.8311405181885,79
pitcher_recent_bf_ops,1058.6144495010376,77
pitcher_onbase_event_rate_allowed,1043.322033882141,67
pitcher_groundout_rate,1036.7185821533203,73
pitcher_vs_lhb_ops,1026.996413230896,73
pitcher_bb_rate,1011.4291887283325,72
batter_obp,994.5358972549438,67
pitcher_vs_rhb_ops,976.1772441864014,68
batter_vs_rhp_ops,973.0966024398804,66
pitcher_hit_rate_allowed,971.680290222168,68
pitcher_k9,948.8947906494141,66
batter_groundout_rate,945.6395196914673,64
batter_hr_rate,884.5440092086792,54
batter_ops,879.8653240203857,62
batter_recent_10pa_ops,873.5952730178833,59
batter_slg,850.891453742981,59
pitcher_hr_rate,774.7230653762817,52
pitcher_vs_lhb_avg,767.2895069122314,53
pitcher_flyout_rate,702.8044891357422,51
batter_vs_lhp_avg,699.0943689346313,47
batter_vs_lhp_ops,698.328179359436,49
pitcher_vs_rhb_avg,689.3977203369141,50
pitcher_ops,683.656623840332,48
batting_turn_in_game,673.3262891769409,35
pitcher_gdp_rate,660.0871982574463,50
pitcher_whip,629.3975992202759,44
inning,612.7569017410278,36
pitcher_k_rate,584.4515991210938,41
batter_recent_10pa_avg,556.2150068283081,38
pitcher_era,547.9903783798218,39
batter_gdp_rate,539.4595041275024,38
pitcher_recent_bf_avg,512.9166479110718,37
batter_recent_5pa_ops,504.3598222732544,35
stadium_id,488.2884473800659,34
vs_ops,460.53700256347656,33
vs_hit_rate,393.8430986404419,29
score_diff,367.89359855651855,26
days_since_last_game_pitcher,350.02273082733154,26
days_since_last_game_batter,347.74369716644287,24
batter_team_id,325.9573497772217,27
vs_xbh_rate,321.62090396881104,24
pitcher_team_id,315.79852962493896,25
vs_pa_count,310.3181209564209,24
runner_count,294.8547372817993,14
batter_recent_10pa_k_rate,288.58141040802,21
vs_k_rate,282.5944309234619,20
month,277.0127000808716,18
is_bottom_order,233.5396032333374,8
is_cleanup,230.1269016265869,8
vs_bb_rate,227.36680030822754,17
pitcher_recent_bf_k_rate,203.76609802246094,14
pitcher_recent_bf_bb_rate,177.00390148162842,12
vs_hr_rate,124.15970039367676,10
is_two_out,108.87800025939941,4
runner2,105.21279907226562,6
pitcher_batter_times_faced_in_game,104.46698951721191,7
batter_recent_10pa_bb_rate,103.43970108032227,7
Home_Away_id,64.5644998550415,5
runner3,46.51459884643555,2
runner1,32.634700775146484,1
top_bottom,26.03950023651123,2
batter_hand,21.27829933166504,1
pitcher_hand,0.0,0
