feature,importance_gain,importance_split
batter_id,210260.74368953705,8713
pitcher_id,194583.2340631485,8269
inning_out_state,45044.902163505554,2975
bat_order_runner_state,44705.05634403229,1238
previous_result2,19885.11930656433,1308
previous_result3,18785.623506069183,1259
previous_result5,18434.42658638954,1244
previous_result1,18271.979810476303,1207
previous_result4,18179.293305397034,1212
out_count,10842.744862556458,121
base_out_state,9677.64179611206,216
bat_order,7681.728274345398,132
is_leadoff_batter_in_inning,4696.6196372509,103
batter_onbase_event_rate,1857.3685293197632,180
is_bottom_order,1691.1909198760986,11
pitcher_team_id,1690.0809276103973,169
pitcher_onbase_event_rate_allowed,1576.729210615158,132
batter_obp,1394.771625995636,146
pitcher_out_rate,1353.2495276927948,123
batter_team_id,1338.5448503494263,143
stadium_id,1292.4041330814362,138
is_no_out_runner_on,1270.5475611686707,10
batter_out_rate,1241.7091748714447,141
pitcher_bf_in_game,1227.9397106170654,102
vs_ops,1201.0314960479736,146
pitcher_hit_rate_allowed,1029.0884900093079,121
batter_avg,1008.1881835460663,109
pitcher_recent_bf_ops,966.3678164482117,102
pitcher_bf_count,949.0754113197327,109
batter_pa_count,934.2447929382324,101
batter_hit_rate,910.3383507728577,98
vs_hit_rate,906.6216065883636,116
pitcher_ops,870.5760102272034,99
pitcher_vs_lhb_ops,868.587890625,95
batter_vs_lhp_ops,814.8800778388977,104
pitcher_vs_rhb_ops,813.6586813926697,95
vs_pa_count,807.622526884079,93
batter_vs_rhp_avg,777.9653272628784,73
pitcher_flyout_rate,759.6143410205841,92
pitcher_era,747.8259479999542,90
pitcher_hr_rate,731.7352681159973,78
season_progress,718.92143034935,81
pitcher_bb_rate,705.8167281150818,89
is_two_out,678.9528942108154,16
pitcher_groundout_rate,675.0654695034027,81
batting_turn_in_game,671.7419838905334,30
batter_ops,669.5399436950684,62
pitcher_whip,665.2803673744202,75
batter_groundout_rate,664.3358726501465,77
pitcher_vs_lhb_avg,661.7606685161591,77
vs_bb_rate,641.9958009719849,92
batter_flyout_rate,627.8569421768188,76
pitcher_k_rate,616.3460173606873,73
batter_vs_rhp_ops,611.1168982982635,75
pitcher_xbh_rate_allowed,606.350613117218,70
batter_k_rate,588.2959098815918,72
batter_recent_10pa_ops,587.2333695888519,71
batter_xbh_rate,579.8997707366943,60
pitcher_recent_bf_avg,567.7460308074951,54
batter_bb_rate,561.3520128726959,74
pitcher_gdp_rate,530.7956700325012,64
batter_vs_lhp_avg,525.0848484039307,60
pitcher_vs_rhb_avg,498.21909976005554,59
pitcher_k9,485.973539352417,62
batter_slg,439.9707498550415,53
inning,430.925879240036,23
batter_gdp_rate,416.47471952438354,54
runner_count,407.5102348327637,14
batter_hr_rate,388.94105887413025,48
batter_recent_10pa_avg,354.0731511116028,48
days_since_last_game_batter,338.4144616127014,14
score_diff,325.23710227012634,38
batter_recent_5pa_ops,295.54305934906006,36
batter_iso,294.2003617286682,34
days_since_last_game_pitcher,220.343270778656,29
pitcher_recent_bf_k_rate,218.5858302116394,29
vs_xbh_rate,176.23347735404968,19
vs_k_rate,163.47535061836243,19
batter_recent_10pa_k_rate,139.12202095985413,18
batter_recent_10pa_bb_rate,117.64513063430786,17
pitcher_recent_bf_bb_rate,99.85126161575317,13
pitcher_batter_times_faced_in_game,65.2238998413086,8
Home_Away_id,50.49650049209595,5
runner1,45.52343034744263,2
is_cleanup,34.944629192352295,3
month,33.73552989959717,5
batter_hand,31.34147071838379,4
pitcher_hand,23.569890022277832,3
is_interleague,23.49219036102295,2
runner2,19.043729782104492,2
runner3,18.782100200653076,2
vs_hr_rate,12.783939838409424,2
top_bottom,8.218830108642578,1
