feature,importance_gain,importance_split
batter_id,158128.9534869194,6719
pitcher_id,145449.11093616486,6372
inning_out_state,45586.363063097,3502
bat_order_runner_state,17975.674699783325,1374
previous_result5,17165.27723276615,1231
previous_result1,15892.542585611343,1129
previous_result2,15817.067856788635,1140
previous_result3,15671.165138602257,1176
previous_result4,15583.315614700317,1135
batter_k_rate,5192.584527254105,251
batter_team_id,2526.4732055664062,263
pitcher_team_id,2419.332902908325,236
vs_k_rate,2026.1176221370697,254
pitcher_k9,1998.2146492004395,221
pitcher_k_rate,1940.3645107746124,215
batter_pa_count,1859.5118136405945,186
batter_out_rate,1703.1218657493591,181
base_out_state,1702.9383115768433,99
stadium_id,1670.8046482801437,190
pitcher_bf_count,1586.7555994987488,178
pitcher_out_rate,1584.6501188278198,183
pitcher_recent_bf_ops,1559.21094083786,178
season_progress,1440.8036332130432,164
pitcher_flyout_rate,1439.7367317676544,176
batter_hit_rate,1410.325991153717,156
pitcher_hit_rate_allowed,1305.96666097641,171
pitcher_bb_rate,1178.8024682998657,148
batter_flyout_rate,1147.5575277805328,138
pitcher_vs_lhb_avg,1085.305888414383,124
batter_bb_rate,1066.1248803138733,127
pitcher_vs_lhb_ops,1058.117348432541,124
pitcher_ops,1009.6076021194458,121
pitcher_xbh_rate_allowed,962.8243072032928,118
batter_groundout_rate,962.7971699237823,119
pitcher_groundout_rate,944.3168931007385,106
pitcher_whip,944.0439717769623,118
batter_vs_lhp_ops,933.3732016086578,118
batter_vs_rhp_ops,932.7888789176941,110
batter_obp,932.0267493724823,107
batter_onbase_event_rate,922.3411591053009,97
pitcher_gdp_rate,896.765650510788,116
batter_slg,887.1737506389618,103
batter_iso,880.8475947380066,101
pitcher_vs_rhb_ops,878.7122225761414,108
batter_xbh_rate,868.8409490585327,107
batter_avg,858.5681684017181,104
pitcher_hr_rate,834.1543805599213,105
pitcher_vs_rhb_avg,831.1559777259827,104
batter_recent_10pa_ops,811.4201128482819,112
batter_vs_rhp_avg,797.0644500255585,106
pitcher_era,788.1453490257263,95
batter_gdp_rate,782.279408454895,105
pitcher_recent_bf_avg,769.3368475437164,91
pitcher_onbase_event_rate_allowed,739.5453500747681,86
batter_vs_lhp_avg,693.2280189990997,94
batter_ops,679.5563290119171,81
pitcher_bf_in_game,678.3246822357178,82
batter_recent_10pa_k_rate,672.2644240856171,81
batter_recent_5pa_ops,600.5824735164642,74
vs_pa_count,585.9241509437561,81
vs_ops,540.5373103618622,69
days_since_last_game_batter,524.7140066623688,53
batter_hr_rate,489.19740295410156,61
days_since_last_game_pitcher,469.80143189430237,49
batter_recent_10pa_avg,392.01593947410583,52
pitcher_recent_bf_k_rate,319.5642490386963,44
vs_hit_rate,294.5818305015564,34
score_diff,283.07767033576965,41
inning,237.77103996276855,30
batting_turn_in_game,187.94549942016602,18
bat_order,152.2215895652771,22
batter_recent_10pa_bb_rate,137.07809972763062,20
vs_bb_rate,127.85658049583435,14
pitcher_batter_times_faced_in_game,121.83737754821777,12
runner1,119.42664051055908,13
vs_xbh_rate,106.60599088668823,11
month,98.51990985870361,8
pitcher_recent_bf_bb_rate,91.42658925056458,13
out_count,67.14040040969849,11
is_no_out_runner_on,66.21172046661377,5
runner_count,59.52869963645935,8
Home_Away_id,43.34744834899902,3
is_interleague,42.32104015350342,6
batter_hand,42.151689291000366,4
is_leadoff_batter_in_inning,29.19879913330078,2
pitcher_hand,28.106250286102295,4
runner2,25.391300678253174,3
runner3,19.48163938522339,2
is_bottom_order,11.751440048217773,2
top_bottom,8.757949829101562,2
vs_hr_rate,7.384280204772949,1
is_two_out,6.1008100509643555,1
is_cleanup,5.395699977874756,1
