feature,importance_gain,importance_split
batter_id,68157.09781241417,4846
pitcher_id,64910.78700423241,4853
inning_out_state,35436.79224228859,4806
bat_order_runner_state,13386.681389331818,1926
previous_result1,10487.12691438198,1409
previous_result4,10294.17510008812,1416
previous_result5,10135.898738145828,1391
previous_result3,9733.910008907318,1302
previous_result2,8705.67654120922,1195
pitcher_xbh_rate_allowed,5143.6613619327545,782
batter_team_id,4109.614466667175,702
batter_xbh_rate,3901.3537888526917,562
pitcher_team_id,3650.8066487312317,618
pitcher_bb_rate,3295.399610042572,552
stadium_id,2986.862334251404,457
pitcher_bf_count,2916.964189052582,480
batter_bb_rate,2698.444041967392,451
batter_pa_count,2574.701580286026,460
batter_hit_rate,2512.992252111435,426
pitcher_hit_rate_allowed,2482.310160756111,430
pitcher_out_rate,2403.6624586582184,422
batter_out_rate,2366.512268304825,416
batter_vs_rhp_avg,2301.1420810222626,387
batter_flyout_rate,2161.2740119695663,378
batter_groundout_rate,2157.3764345645905,346
pitcher_groundout_rate,2068.956285715103,353
batter_vs_rhp_ops,2060.5440394878387,330
batter_iso,2004.6267392635345,308
pitcher_vs_rhb_ops,1953.8879783153534,326
pitcher_vs_lhb_avg,1950.0040729045868,336
pitcher_vs_rhb_avg,1898.5342524051666,313
batter_avg,1881.2412695884705,320
pitcher_recent_bf_ops,1820.8314567804337,332
batter_vs_lhp_ops,1808.7414593696594,316
pitcher_flyout_rate,1800.8344504833221,318
batter_slg,1791.4259889125824,298
pitcher_hr_rate,1785.846759557724,306
batter_k_rate,1775.7939960956573,312
batter_recent_10pa_ops,1772.375902891159,301
pitcher_vs_lhb_ops,1771.8809916973114,293
pitcher_k_rate,1737.8389986753464,298
season_progress,1699.0585432052612,300
pitcher_k9,1681.559820175171,301
pitcher_onbase_event_rate_allowed,1623.2290396690369,282
batter_obp,1619.095298051834,286
pitcher_ops,1586.970628976822,278
batter_onbase_event_rate,1572.281265258789,268
batter_vs_lhp_avg,1554.9376411437988,260
batter_ops,1452.3673009872437,240
pitcher_gdp_rate,1438.374519586563,258
vs_ops,1423.5086917877197,229
batter_gdp_rate,1422.0479962825775,261
pitcher_bf_in_game,1395.2731881141663,248
batter_hr_rate,1356.783809185028,230
pitcher_whip,1319.059330701828,240
base_out_state,1270.8798491954803,185
batter_recent_5pa_ops,1262.063636302948,212
pitcher_era,1214.8616826534271,213
score_diff,1213.8323780298233,206
pitcher_recent_bf_avg,1190.3984619379044,218
batter_recent_10pa_avg,1146.912039756775,196
vs_hit_rate,897.1750292778015,149
vs_k_rate,810.47667491436,147
pitcher_recent_bf_k_rate,796.0912590026855,135
vs_xbh_rate,670.4537506103516,120
vs_pa_count,656.220201253891,117
days_since_last_game_pitcher,648.9775717258453,120
batter_recent_10pa_k_rate,612.2146003246307,107
pitcher_recent_bf_bb_rate,473.2473918199539,88
days_since_last_game_batter,429.99771070480347,81
bat_order,398.0227315425873,67
vs_bb_rate,376.43403029441833,74
batting_turn_in_game,371.8197774887085,58
inning,369.1065800189972,66
batter_recent_10pa_bb_rate,319.1404507160187,58
Home_Away_id,155.5285189151764,27
runner_count,139.2536494731903,23
out_count,118.10512924194336,21
pitcher_batter_times_faced_in_game,116.45177054405212,19
batter_hand,114.43667078018188,19
runner2,107.85826992988586,16
month,91.04855036735535,18
runner1,79.02047038078308,15
is_interleague,72.53527975082397,12
is_no_out_runner_on,66.0267608165741,11
pitcher_hand,60.288429498672485,9
is_leadoff_batter_in_inning,58.76450037956238,9
top_bottom,42.75499963760376,7
is_cleanup,34.07993006706238,6
vs_hr_rate,22.256030321121216,4
runner3,21.9491605758667,4
is_two_out,20.70410966873169,2
is_bottom_order,3.0435500144958496,1
