feature,importance_gain,importance_split
batter_id,682259.2538850307,31536
pitcher_id,672738.4843455553,30600
inning_out_state,124717.62756335735,9320
previous_result3,67010.43699133396,5070
previous_result5,66500.47871422768,5030
previous_result4,65984.71906673908,5026
previous_result1,64770.69489824772,4754
previous_result2,61999.17091524601,4756
bat_order_runner_state,59805.71768796444,3408
base_out_state,12606.756789803505,461
bat_order,9127.663881540298,208
out_count,8342.92841553688,111
pitcher_xbh_rate_allowed,5715.421356678009,577
stadium_id,4948.704805970192,454
pitcher_team_id,4674.007434844971,498
batter_team_id,4606.538723230362,454
batter_xbh_rate,4282.811144590378,452
pitcher_bf_count,3885.3807772397995,621
pitcher_bb_rate,3348.619989991188,486
is_leadoff_batter_in_inning,3091.1499005556107,137
batter_out_rate,2919.5126301050186,476
batter_pa_count,2908.425461769104,453
non_out_matchup_index,2810.878898024559,418
vs_xbh_rate,2588.886161804199,310
batter_bb_rate,2561.841784119606,335
pitcher_hit_rate_allowed,2559.3525552749634,436
pitcher_out_rate,2516.667041182518,418
batter_avg,2475.4608211517334,354
batter_hit_rate,2449.775069117546,383
batter_groundout_rate,2198.5507929325104,283
vs_pa_count,2193.8962388038635,390
batter_vs_rhp_avg,2184.8684698343277,326
season_progress,2106.9954068660736,372
pitcher_recent_bf_ops,2066.6659523248672,369
vs_hit_rate,2016.674491405487,348
batter_onbase_event_rate,2014.7780901193619,303
pitcher_groundout_rate,1920.1653499603271,316
batter_iso,1896.29862678051,251
pitcher_flyout_rate,1869.2114542722702,314
pitcher_bf_in_game,1861.329183459282,329
batter_obp,1818.7159894704819,295
pitcher_vs_lhb_avg,1818.6731925010681,303
batter_vs_rhp_ops,1808.30531001091,251
batter_flyout_rate,1746.5656617879868,301
pitcher_vs_rhb_ops,1667.0310007333755,267
batter_slg,1642.3580046892166,231
pitcher_k9,1628.3909459114075,249
pitcher_vs_lhb_ops,1626.3934905529022,274
batter_recent_10pa_ops,1579.9731976985931,289
pitcher_onbase_event_rate_allowed,1552.4976813793182,216
batter_vs_lhp_ops,1551.10136282444,230
batter_ops,1536.5196534395218,212
pitcher_hr_rate,1534.7891464233398,265
pitcher_ops,1495.0053625106812,239
batter_hr_rate,1490.059580206871,204
vs_ops,1470.003632068634,243
vs_bb_rate,1450.4688475131989,241
score_diff,1444.6425921916962,187
pitcher_k_rate,1441.4294365644455,225
pitcher_vs_rhb_avg,1435.166898727417,241
pitcher_era,1405.2021116018295,214
pitcher_gdp_rate,1386.5683813095093,252
batter_vs_lhp_avg,1375.858403801918,212
pitcher_recent_bf_avg,1314.7693724632263,195
pitcher_whip,1307.7082118988037,211
batter_k_rate,1220.2852671146393,223
vs_non_out_rate,1200.3177227973938,207
batter_gdp_rate,1075.9730114936829,194
is_no_out_runner_on,926.5963656902313,10
batter_recent_5pa_ops,924.7078403234482,173
vs_k_rate,903.5782350301743,129
inning,897.9785774946213,76
batting_turn_in_game,891.1060601472855,70
batter_recent_10pa_avg,834.4644236564636,133
pitcher_non_out_rate_allowed,726.3555496931076,90
days_since_last_game_pitcher,670.8744682073593,123
pitcher_recent_bf_k_rate,608.186511516571,102
is_bottom_order,565.1700274944305,19
batter_non_out_rate,538.3813706636429,68
pitcher_recent_bf_bb_rate,499.933789730072,83
batter_recent_10pa_k_rate,479.44948387145996,79
days_since_last_game_batter,454.7720410823822,64
is_two_out,393.3268437385559,12
runner_count,366.58941674232483,32
batter_recent_10pa_bb_rate,290.4115126132965,55
pitcher_batter_times_faced_in_game,182.13858878612518,50
vs_hr_rate,168.60167801380157,31
month,117.38718056678772,17
is_cleanup,111.46795630455017,7
runner3,56.714730739593506,5
is_interleague,54.56500840187073,8
runner1,47.617358446121216,5
runner2,44.312899589538574,11
pitcher_hand,38.14459037780762,6
Home_Away_id,34.49885928630829,9
batter_hand,13.615099668502808,4
top_bottom,6.944529891014099,3
