feature,importance_gain,importance_split
pitcher_id,95115.26464201359,30074
batter_id,89713.787595149,29042
pitcher_k9,9232.651543883721,12290
batter_iso,9033.722108247091,9553
previous_result4,8764.817604389158,5184
pitcher_ops,8433.783813238182,10657
previous_result5,8234.47286897496,4998
batter_vs_rhp_ops,8172.781396118117,10019
batter_obp,8166.292398163531,9883
batter_vs_rhp_avg,8138.099208176865,10315
previous_result1,8095.094559569843,4821
batter_vs_lhp_ops,7980.825070737103,9343
previous_result3,7922.327198554063,4772
previous_result2,7728.469597507705,4724
batter_avg,7717.629569834231,9021
pitcher_whip,6854.817964865762,9030
batter_vs_lhp_avg,6780.259199215368,8446
batter_slg,6722.214530073328,7832
vs_ops,6644.204326481413,8750
pitcher_era,6386.017330990377,8677
inning,6234.9253927554655,6564
batter_ops,6085.833203914996,7405
bat_order,5829.448465569294,4120
score_diff,4093.0635988866184,5963
out_count,2802.1408104151487,1895
stadium_id,873.3782144917059,601
runner1,767.8234027996659,568
runner2,533.5342543612933,530
Home_Away_id,311.66016975045204,221
batter_hand,198.6949695535004,120
runner3,188.94115817081183,218
pitcher_hand,57.82398533821106,45
top_bottom,55.241811752319336,56
