game_date,game_id,team_id,target_game_runs,n_offensive_innings,opponent_team_id,top_bottom,home_away,stadium_id,starting_pitcher_id,current_pitcher_id,team_avg_runs_7d,opponent_avg_runs_7d,opponent_avg_runs_allowed_7d,opponent_starter_era,pitcher_era_before_inning,game_date_dt,top_bottom_cat,team_avg_runs_7d_bin,opponent_avg_runs_7d_bin,opponent_avg_runs_allowed_7d_bin,opponent_starter_era_bin,pitcher_era_before_inning_bin
2025/3/28,cl2025032801,ヤクルト,5,10,巨人,0,Away,東京ドーム,P_0001,P_0001,0.0,0.0,0.0,,,2025-03-28,top,low,low,low_allowed,unknown,unknown
2025/3/28,cl2025032801,巨人,6,10,ヤクルト,1,Home,東京ドーム,P_0002,P_0002,0.0,0.0,0.0,,,2025-03-28,bottom,low,low,low_allowed,unknown,unknown
2025/3/28,cl2025032802,中日,0,9,ＤｅＮＡ,0,Away,横浜,P_0011,P_0011,0.0,0.0,0.0,,,2025-03-28,top,low,low,low_allowed,unknown,unknown
2025/3/28,cl2025032802,ＤｅＮＡ,5,8,中日,1,Home,横浜,P_0012,P_0012,0.0,0.0,0.0,,,2025-03-28,bottom,low,low,low_allowed,unknown,unknown
2025/3/28,cl2025032803,阪神,4,9,広島,0,Away,マツダスタジアム,P_0018,P_0018,0.0,0.0,0.0,,,2025-03-28,top,low,low,low_allowed,unknown,unknown
2025/3/28,cl2025032803,広島,0,9,阪神,1,Home,マツダスタジアム,P_0019,P_0019,0.0,0.0,0.0,,,2025-03-28,bottom,low,low,low_allowed,unknown,unknown
2025/3/28,pl2025032804,日本ハム,2,9,西武,0,Away,ベルーナドーム,P_0024,P_0024,0.0,0.0,0.0,5.0339,5.0339,2025-03-28,top,low,low,low_allowed,high,high
2025/3/28,pl2025032804,西武,0,9,日本ハム,1,Home,ベルーナドーム,P_0025,P_0025,0.0,0.0,0.0,7.7143,7.7143,2025-03-28,bottom,low,low,low_allowed,very_high,very_high
2025/3/28,pl2025032805,楽天,2,9,オリックス,0,Away,京セラドーム大阪,P_0026,P_0026,0.0,0.0,0.0,8.245,8.245,2025-03-28,top,low,low,low_allowed,very_high,very_high
2025/3/28,pl2025032805,オリックス,3,9,楽天,1,Home,京セラドーム大阪,P_0293,P_0027,0.0,0.0,0.0,6.8451,6.8451,2025-03-28,bottom,low,low,low_allowed,very_high,very_high
