feature,feature_type
team_id,categorical
opponent_team_id,categorical
home_away,categorical
stadium_id,categorical
starting_pitcher_id,categorical
current_pitcher_id,categorical
inning_group,categorical
top_bottom_cat,categorical
score_state_bin,categorical
team_runs_before_group,categorical
opponent_runs_before_group,categorical
batting_order_start_group,categorical
pitcher_bf_group,categorical
pitcher_role_bin,categorical
times_through_order_group,categorical
top_order_flag,categorical
cleanup_flag,categorical
team_avg_runs_7d_bin,categorical
opponent_avg_runs_7d_bin,categorical
opponent_avg_runs_allowed_7d_bin,categorical
pitcher_era_before_inning_bin,categorical
opponent_starter_era_bin,categorical
team_run_scored_inning_rate_7d_bin,categorical
opponent_run_allowed_inning_rate_7d_bin,categorical
team_recent_2plus_inning_rate_7d_bin,categorical
opponent_recent_2plus_allowed_rate_7d_bin,categorical
