feature,feature_type
team_id,categorical
opponent_team_id,categorical
home_away,categorical
stadium_id,categorical
starting_pitcher_id,categorical
current_pitcher_id,categorical
batting_order_start_group,categorical
inning,numeric
top_bottom,numeric
score_diff_before_inning,numeric
team_runs_before_inning,numeric
opponent_runs_before_inning,numeric
batting_order_start,numeric
pitcher_bf_before_inning,numeric
is_late_inning,numeric
is_top_order_start,numeric
is_cleanup_start,numeric
pitcher_is_starter,numeric
pitcher_times_through_order,numeric
