feature,importance_gain,importance_split
current_pitcher_id,28080.439789056778,1997
batting_order_start,22509.140820264816,752
starting_pitcher_id,17825.235234856606,1539
pitcher_bf_before_inning,9918.734816074371,1159
pitcher_era_before_inning,7456.283577680588,1176
opponent_avg_runs_7d,6749.798129558563,1027
team_id,6234.489837050438,795
opponent_avg_runs_allowed_7d,5820.744444489479,935
team_avg_runs_7d,5561.116545915604,889
inning,5078.268301725388,666
stadium_id,5025.098623514175,654
opponent_starter_era,4850.7801303863525,741
team_runs_before_inning,2248.6634650230408,358
score_diff_before_inning,2021.1120949983597,332
opponent_runs_before_inning,1581.834793806076,266
pitcher_runs_allowed_in_game,911.8122508525848,135
home_away,547.747269153595,91
opponent_team_id,171.29333877563477,31
top_bottom,91.20074009895325,13
is_late_inning,43.369959115982056,4
