feature,importance_gain,importance_split
current_pitcher_id,81199.71598252654,8519
starting_pitcher_id,47156.57106137276,6272
batting_order_start,32359.421236246824,2467
pitcher_bf_before_inning,23567.77529361844,5705
pitcher_era_before_inning,21566.973998695612,6316
team_avg_runs_7d,18216.03049993515,4904
opponent_avg_runs_7d,17952.005818158388,5055
opponent_avg_runs_allowed_7d,16886.855884939432,4803
team_id,16842.171169817448,3297
opponent_starter_era,14231.658671051264,4145
stadium_id,13295.906520575285,2715
inning,11690.34997561574,2924
score_diff_before_inning,6950.818722635508,1992
team_runs_before_inning,6525.406181901693,1812
opponent_runs_before_inning,5178.838068813086,1368
pitcher_runs_allowed_in_game,4067.6974512040615,1211
home_away,1357.8781290054321,428
opponent_team_id,614.9503831863403,150
top_bottom,174.12002500891685,55
is_late_inning,113.65082329511642,32
