feature,importance_gain,importance_split
current_pitcher_id,27989.591014385223,1914
batting_order_start,20135.041000127792,562
starting_pitcher_id,17304.526710629463,1486
pitcher_bf_before_inning,10097.80545771122,1157
pitcher_era_before_inning,6365.006484627724,971
opponent_avg_runs_7d,5176.8366522789,733
team_id,5097.029408454895,630
inning,4745.260469198227,602
opponent_run_allowed_inning_rate_7d,4264.241667985916,669
stadium_id,4248.171678066254,537
opponent_starter_era,4181.81399512291,628
team_run_scored_inning_rate_7d,4178.979828953743,636
opponent_recent_2plus_allowed_rate_7d,4029.656185388565,599
team_recent_2plus_inning_rate_7d,3842.23779463768,575
opponent_avg_runs_allowed_7d,3506.583701968193,521
team_avg_runs_7d,2769.5203065872192,420
team_runs_before_inning,2009.8224160671234,329
score_diff_before_inning,1834.9771875143051,280
batting_order_start_group,1734.8072817325592,141
opponent_runs_before_inning,1048.7064867019653,167
pitcher_runs_allowed_in_game,782.8278512954712,128
home_away,605.6897187232971,85
is_top_order_start,372.49088525772095,4
is_cleanup_start,359.5545732975006,35
pitcher_is_starter,201.9382290840149,21
pitcher_times_through_order,169.99197053909302,22
opponent_team_id,117.54091024398804,18
is_late_inning,107.47227907180786,11
top_bottom,77.83656978607178,9
