feature,importance_gain,importance_split
current_pitcher_id,80200.87485209107,8142
starting_pitcher_id,46377.90651679039,5922
batting_order_start,23288.591303288937,1687
pitcher_bf_before_inning,21284.62458267808,4845
pitcher_era_before_inning,16641.51421970129,4685
team_id,14680.013297826052,2728
opponent_avg_runs_7d,13238.875482082367,3501
team_recent_2plus_inning_rate_7d,13172.659947186708,3375
opponent_run_allowed_inning_rate_7d,13110.895807385445,3243
team_run_scored_inning_rate_7d,12673.9866912961,3251
opponent_recent_2plus_allowed_rate_7d,11707.06423446536,3057
stadium_id,11365.435775965452,2232
inning,10153.18482837081,2436
team_avg_runs_7d,9761.190787374973,2494
opponent_starter_era,9727.568918585777,2734
opponent_avg_runs_allowed_7d,8836.492239296436,2411
batting_order_start_group,7915.078612625599,445
score_diff_before_inning,6082.851047903299,1575
team_runs_before_inning,5457.517434507608,1467
pitcher_runs_allowed_in_game,4083.2590571045876,1161
opponent_runs_before_inning,3600.0284270346165,962
home_away,1023.4224563539028,288
pitcher_is_starter,925.1641536355019,98
is_cleanup_start,708.4079394936562,198
is_top_order_start,559.8677138090134,5
opponent_team_id,503.8927276134491,126
pitcher_times_through_order,466.1186897158623,141
top_bottom,115.78279307484627,39
is_late_inning,112.94457936286926,22
