feature,importance_gain,importance_split
current_pitcher_id,27282.629797041416,2497
batting_order_start,20756.4310297966,920
starting_pitcher_id,17873.5748385489,1985
pitcher_era_before_inning,12706.704439043999,2813
inning,8494.51791420579,1643
opponent_avg_runs_7d,7600.60419011116,1501
opponent_starter_era,7061.28545203805,1458
team_run_scored_inning_rate_7d,6783.268124371767,1393
opponent_run_allowed_inning_rate_7d,6573.381051540375,1357
team_recent_2plus_inning_rate_7d,6323.065810114145,1329
opponent_recent_2plus_allowed_rate_7d,6192.47136169672,1303
team_id,5718.08786034584,892
team_avg_runs_7d,4924.807097971439,1046
opponent_avg_runs_allowed_7d,4858.231959402561,988
stadium_id,4385.779131829739,729
pitcher_times_through_order,2611.6821172833443,520
batting_order_start_group,2320.0216084718704,225
home_away,723.855410784483,139
is_cleanup_start,712.7293531894684,116
pitcher_is_starter,521.8417291641235,93
opponent_team_id,368.01260018348694,61
is_top_order_start,268.08734226226807,14
is_late_inning,222.45704996585846,49
top_bottom,135.7835147678852,29
