feature,importance_gain,importance_split
current_pitcher_id,22864.02309575677,2312
batting_order_start,21018.050148934126,1164
pitcher_era_before_inning,15924.48707768321,3859
starting_pitcher_id,14099.786143302917,1857
inning,10646.561495512724,2243
opponent_starter_era,9321.168322443962,2043
opponent_avg_runs_7d,9218.894702106714,2053
opponent_run_allowed_inning_rate_7d,8755.452943712473,1982
team_recent_2plus_inning_rate_7d,8702.247376441956,1991
team_run_scored_inning_rate_7d,8627.677446901798,1964
opponent_recent_2plus_allowed_rate_7d,8328.855059713125,1878
team_avg_runs_7d,6665.085534512997,1487
opponent_avg_runs_allowed_7d,6586.907386213541,1469
team_id,6089.455910563469,1122
stadium_id,4503.09507393837,827
pitcher_times_through_order,3257.5865684747696,713
batting_order_start_group,2351.549040019512,273
home_away,941.063881456852,191
is_cleanup_start,732.4242863059044,138
pitcher_is_starter,517.1895896792412,117
opponent_team_id,380.0794289112091,76
top_bottom,262.33174908161163,45
is_late_inning,257.16233265399933,62
is_top_order_start,251.8582855463028,18
