feature,importance_gain,importance_split
current_pitcher_id,22824.954244494438,2026
batting_order_start,16371.12473231554,844
starting_pitcher_id,12959.290358006954,1493
pitcher_era_before_inning,12826.244415521622,2567
opponent_avg_runs_7d,8339.3522336483,1603
opponent_run_allowed_inning_rate_7d,7854.179668307304,1503
inning,7794.234008431435,1410
team_run_scored_inning_rate_7d,7446.792833209038,1451
opponent_recent_2plus_allowed_rate_7d,7229.641971111298,1455
opponent_starter_era,7077.920733332634,1392
team_recent_2plus_inning_rate_7d,7068.819265127182,1359
opponent_avg_runs_allowed_7d,6185.941535294056,1164
team_avg_runs_7d,5613.946746349335,1048
team_id,5331.575195491314,901
batting_order_start_group,4961.5929889678955,190
stadium_id,4511.332062482834,742
score_diff_before_inning,3512.0993235111237,703
pitcher_times_through_order,2598.0117601156235,472
score_state_before_inning,2583.4930135011673,500
is_cleanup_start,1673.9359191060066,137
home_away,1082.8134396076202,191
opponent_team_id,750.3316675424576,107
is_top_order_start,586.4212822914124,6
pitcher_is_starter,380.3053307533264,66
is_late_inning,343.49343955516815,65
is_blowout,280.3577883243561,25
top_bottom,223.01579105854034,36
is_close_game,217.29827904701233,42
