feature,importance_gain,importance_split
current_pitcher_id,26951.546978920698,2346
starting_pitcher_id,17253.430567502975,1834
batting_order_start,16333.611298561096,809
pitcher_era_before_inning,11412.361750006676,2370
opponent_avg_runs_7d,7084.7039206027985,1373
inning,7042.488271981478,1293
team_run_scored_inning_rate_7d,6563.831185996532,1329
team_recent_2plus_inning_rate_7d,6398.554006516933,1306
opponent_starter_era,6381.412510305643,1272
opponent_run_allowed_inning_rate_7d,6153.868740230799,1231
team_id,5913.137974560261,926
opponent_recent_2plus_allowed_rate_7d,5784.050519615412,1172
opponent_avg_runs_allowed_7d,5286.787942767143,1020
batting_order_start_group,5040.127348065376,189
team_avg_runs_7d,4679.682717740536,918
stadium_id,4668.408556818962,765
score_diff_before_inning,3104.532105475664,663
pitcher_times_through_order,2500.9486730098724,459
score_state_before_inning,2264.0501142144203,465
is_cleanup_start,1493.0440944433212,110
home_away,983.9724694490433,175
opponent_team_id,663.4082598686218,101
is_top_order_start,589.1814215183258,6
pitcher_is_starter,425.3510695695877,69
is_late_inning,338.55603086948395,62
is_blowout,267.4526312351227,20
top_bottom,181.8474138379097,32
is_close_game,177.10190081596375,35
