feature,importance_gain,importance_split
current_pitcher_id,27202.975822865963,2097
batting_order_start,17703.953518927097,599
starting_pitcher_id,14937.150948226452,1457
next_3_batters_xbh_rate,8372.062258839607,1446
pitcher_era_before_inning,8248.661533176899,1509
next_3_batters_ops,6394.673920691013,1081
next_4_batters_ops,6247.767319381237,1124
next_3_batters_obp,6118.806568622589,1117
inning,6118.03180962801,999
opponent_avg_runs_7d,5331.723272323608,882
opponent_starter_era,4827.036457300186,839
team_run_scored_inning_rate_7d,4739.501121044159,841
team_id,4728.717292308807,663
opponent_run_allowed_inning_rate_7d,4582.160710513592,787
opponent_recent_2plus_allowed_rate_7d,4408.6483780145645,774
stadium_id,4127.515801072121,585
team_recent_2plus_inning_rate_7d,4096.888458490372,744
opponent_avg_runs_allowed_7d,3458.791309952736,607
team_avg_runs_7d,3334.730522632599,555
batting_order_start_group,3187.710100412369,118
score_diff_before_inning,2332.0252307653427,465
pitcher_times_through_order,2029.684931755066,342
score_state_before_inning,1709.5612080693245,312
is_cleanup_start,761.9489769935608,53
home_away,638.126549243927,104
is_top_order_start,622.8389101028442,5
opponent_team_id,467.2876687049866,63
pitcher_is_starter,252.38395142555237,37
top_bottom,228.25263035297394,37
is_blowout,196.56974244117737,13
is_late_inning,169.6568808555603,30
is_close_game,137.3720487356186,25
