feature,missing_count,missing_rate,mean
next_3_batters_obp,0,0.0,0.3132583765280117
next_3_batters_ops,0,0.0,0.6727736415273637
next_3_batters_xbh_rate,0,0.0,0.060939690558010455
next_4_batters_ops,0,0.0,0.672841291412898
next_3_batters_vs_pitcher_hand_avg,8,0.0005183361409874304,0.2591318497558235
next_3_batters_vs_pitcher_hand_ops,8,0.0005183361409874304,0.6867766874648861
next_4_batters_vs_pitcher_hand_ops,8,0.0005183361409874304,0.6864126589092008
next_3_batters_vs_pitcher_hand_xbh_rate,0,0.0,0.060939690558010455
next_3_batters_known_count,0,0.0,2.9983801995594144
next_4_batters_known_count,0,0.0,3.9959828949073475
next_3_batters_vs_hand_known_count,0,0.0,2.9917714137618248
next_4_batters_vs_hand_known_count,0,0.0,3.985097835946611
