feature,importance_gain,importance_split
current_pitcher_id,28212.417193949223,2335
starting_pitcher_id,17328.798987030983,1710
batting_order_start,15991.794850587845,466
pitcher_era_before_inning,6501.842971593142,1285
next_3_batters_hr_rate,6037.195026218891,956
inning,5997.271388620138,1070
leadoff_batter_bb_rate,5385.9750443995,916
next_3_batters_vs_pitcher_hand_xbh_rate,5241.371757090092,916
next_3_batters_bb_rate,5229.287196516991,935
next_4_batters_vs_pitcher_hand_ops,5005.747269332409,916
next_3_batters_vs_pitcher_hand_avg,4991.000135064125,876
next_3_batters_k_rate,4969.675574064255,890
leadoff_batter_obp,4860.870559155941,858
leadoff_batter_k_rate,4829.753008008003,847
leadoff_batter_vs_pitcher_hand_avg,4428.398509979248,791
leadoff_batter_vs_pitcher_hand_ops,4392.505363345146,789
next_3_batters_vs_pitcher_hand_ops,4302.672388404608,736
opponent_avg_runs_7d,3956.008470892906,680
next_3_batters_obp,3650.761103063822,705
opponent_starter_era,3512.5441486537457,656
opponent_recent_2plus_allowed_rate_7d,3488.232397079468,637
stadium_id,3482.596576422453,486
team_recent_2plus_inning_rate_7d,3423.9874215722084,617
team_id,3344.2588279247284,482
opponent_run_allowed_inning_rate_7d,3200.0978404283524,603
team_run_scored_inning_rate_7d,3200.05510738492,619
opponent_avg_runs_allowed_7d,2730.084628880024,485
team_avg_runs_7d,2634.210752725601,475
batting_order_start_group,2283.172456562519,97
pitcher_times_through_order,1824.9992313981056,323
is_top_order_start,1714.4700336456299,15
score_diff_before_inning,1617.4527127742767,385
score_state_before_inning,1226.647625029087,263
expected_bb_next3,1090.9619106650352,180
expected_onbase_next3,1036.6250044703484,198
expected_k_next3,846.1132403612137,157
next_3_batters_xbh_rate,802.4416598081589,153
is_cleanup_start,675.9897973537445,33
home_away,599.2956073582172,92
pitcher_is_starter,296.6084189414978,39
opponent_team_id,271.9598391056061,42
is_blowout,251.69451999664307,20
is_late_inning,179.66064834594727,30
expected_xbh_next3,152.58139085769653,30
is_close_game,117.04346919059753,20
top_bottom,92.07161891460419,16
