feature,missing_count,missing_rate,mean
next_3_batters_obp,0,0.0,0.3132583765280117
next_3_batters_ops,0,0.0,0.6727736415273637
next_3_batters_xbh_rate,0,0.0,0.060939690558010455
next_4_batters_ops,0,0.0,0.672841291412898
next_3_batters_vs_pitcher_hand_avg,8,0.0005183361409874304,0.2591318497558235
next_3_batters_vs_pitcher_hand_ops,8,0.0005183361409874304,0.6867766874648861
next_4_batters_vs_pitcher_hand_ops,8,0.0005183361409874304,0.6864126589092008
next_3_batters_vs_pitcher_hand_xbh_rate,0,0.0,0.060939690558010455
leadoff_batter_vs_pitcher_hand_avg,14,0.0009070882467280031,0.2655290620622568
leadoff_batter_vs_pitcher_hand_ops,14,0.0009070882467280031,0.7037121953955902
leadoff_batter_obp,1,6.47920176234288e-05,0.3212465172033953
leadoff_batter_k_rate,1,6.47920176234288e-05,0.1686605330325277
leadoff_batter_bb_rate,1,6.47920176234288e-05,0.0711537556335126
next_3_batters_bb_rate,0,0.0,0.07133442816919357
next_3_batters_k_rate,0,0.0,0.1756133537847177
next_3_batters_hr_rate,0,0.0,0.017631711249665245
expected_onbase_next3,0,0.0,0.9397751295840352
expected_bb_next3,0,0.0,0.21400328450758066
expected_k_next3,0,0.0,0.5268400613541531
expected_xbh_next3,0,0.0,0.18281907167403139
next_3_batters_known_count,0,0.0,2.9983801995594144
next_4_batters_known_count,0,0.0,3.9959828949073475
next_3_batters_vs_hand_known_count,0,0.0,2.9917714137618248
next_4_batters_vs_hand_known_count,0,0.0,3.985097835946611
