feature,importance_gain,importance_split
current_pitcher_id,27125.05176883936,2123
batting_order_start,17205.577294945717,484
starting_pitcher_id,16986.47639876604,1610
pitcher_era_before_inning,6541.39791482687,1224
leadoff_batter_bb_rate,5924.750327646732,992
next_3_batters_hr_rate,5872.386291027069,926
next_3_batters_bb_rate,5570.120498597622,931
next_3_batters_xbh_rate,5499.1365159749985,907
inning,5462.495944559574,910
leadoff_batter_vs_pitcher_hand_ops,5212.688543617725,911
leadoff_batter_obp,5115.906364142895,845
leadoff_batter_vs_pitcher_hand_avg,5009.22462105751,851
leadoff_batter_k_rate,5008.145028948784,841
next_3_batters_k_rate,4808.872310996056,845
next_3_batters_obp,4213.383500814438,736
opponent_avg_runs_7d,4175.4692152142525,675
opponent_run_allowed_inning_rate_7d,3526.3130430579185,627
opponent_starter_era,3517.9318531155586,628
team_id,3489.585219502449,513
opponent_recent_2plus_allowed_rate_7d,3478.6065553426743,602
team_recent_2plus_inning_rate_7d,3410.3374611735344,599
team_run_scored_inning_rate_7d,3406.4006642103195,592
stadium_id,3327.683607697487,448
batting_order_start_group,3167.438252091408,110
opponent_avg_runs_allowed_7d,2680.28926974535,461
team_avg_runs_7d,2661.941309452057,445
score_diff_before_inning,1943.6045657396317,405
pitcher_times_through_order,1747.4152300357819,289
score_state_before_inning,1503.683310866356,283
expected_onbase_next3,1178.6436058282852,216
expected_xbh_next3,1055.7782583236694,176
expected_bb_next3,760.2769193649292,140
expected_k_next3,750.9928511381149,140
is_cleanup_start,633.896028637886,32
home_away,417.7217063307762,76
is_late_inning,279.16636991500854,41
opponent_team_id,274.74529933929443,33
is_top_order_start,267.83860540390015,6
pitcher_is_starter,255.78064060211182,39
is_blowout,251.1132414340973,18
is_close_game,160.79049110412598,26
top_bottom,101.01691031455994,14
