feature,importance_gain,importance_split
current_pitcher_id,28502.657321691513,2166
starting_pitcher_id,16965.050613045692,1507
batting_order_start,15827.18393611908,395
pitcher_era_before_inning,4997.535412371159,874
inning,4621.597334563732,739
bb_rate_std_next3,4508.457279443741,663
slot2_contact_score,4326.7495512366295,652
xbh_std_next3,4180.0471549630165,635
next_4_batters_vs_pitcher_hand_ops,3674.178880274296,578
batting_order_start_group,3606.151594698429,92
hr_rate_max_next3,3380.427186369896,505
ops_std_next3,3364.8584603071213,544
leadoff_batter_k_rate,3323.120238661766,508
k_rate_std_next3,3316.296591758728,526
leadoff_batter_vs_pitcher_hand_ops,3282.586356282234,508
next_3_batters_vs_pitcher_hand_avg,3272.065112888813,500
leadoff_batter_obp,3236.6828006505966,491
leadoff_batter_bb_rate,3230.2607188224792,493
slot3_power_score,3146.282566010952,508
xbh_max_next3,3116.6416054964066,475
next_3_batters_vs_pitcher_hand_xbh_rate,3066.304355740547,455
ops_max_next3,3060.682040512562,478
stadium_id,3054.285411834717,381
chain_leadoff_obp_batter2_obp_batter3_xbh,3042.418355345726,484
leadoff_batter_vs_pitcher_hand_avg,3041.6805503368378,487
opponent_avg_runs_7d,2987.3085880875587,457
chain_leadoff_obp_batter2_xbh,2947.5008734464645,486
next_3_batters_vs_pitcher_hand_ops,2945.957031428814,450
slot1_onbase_score,2853.220213532448,449
opponent_starter_era,2835.320409834385,452
chain_leadoff_bb_batter2_xbh,2740.9990887641907,420
opponent_run_allowed_inning_rate_7d,2539.2912634015083,409
team_id,2356.12847584486,314
team_recent_2plus_inning_rate_7d,2230.957667827606,372
opponent_recent_2plus_allowed_rate_7d,2216.9555345773697,358
opponent_avg_runs_allowed_7d,2093.3731278181076,335
team_run_scored_inning_rate_7d,2091.078757107258,335
team_avg_runs_7d,1747.3993382453918,273
pitcher_times_through_order,1573.511950135231,248
score_diff_before_inning,1464.6105181574821,303
score_state_before_inning,1183.783291876316,210
is_cleanup_start,860.989643573761,29
home_away,410.7744516134262,67
is_top_order_start,244.1030158996582,5
is_blowout,202.37007868289948,13
is_late_inning,162.3024218082428,22
opponent_team_id,123.10933947563171,22
top_bottom,112.60348546504974,14
pitcher_is_starter,110.39776039123535,20
is_close_game,89.03786993026733,13
