feature,feature_type
team_id,categorical
opponent_team_id,categorical
home_away,categorical
stadium_id,categorical
starting_pitcher_id,categorical
current_pitcher_id,categorical
batting_order_start_group,categorical
score_state_before_inning,categorical
inning,numeric
top_bottom,numeric
is_late_inning,numeric
batting_order_start,numeric
is_top_order_start,numeric
is_cleanup_start,numeric
pitcher_is_starter,numeric
pitcher_times_through_order,numeric
pitcher_era_before_inning,numeric
opponent_starter_era,numeric
team_avg_runs_7d,numeric
opponent_avg_runs_7d,numeric
opponent_avg_runs_allowed_7d,numeric
team_run_scored_inning_rate_7d,numeric
opponent_run_allowed_inning_rate_7d,numeric
team_recent_2plus_inning_rate_7d,numeric
opponent_recent_2plus_allowed_rate_7d,numeric
score_diff_before_inning,numeric
is_close_game,numeric
is_blowout,numeric
next_3_batters_vs_pitcher_hand_avg,numeric
next_3_batters_vs_pitcher_hand_ops,numeric
next_4_batters_vs_pitcher_hand_ops,numeric
next_3_batters_vs_pitcher_hand_xbh_rate,numeric
leadoff_batter_vs_pitcher_hand_avg,numeric
leadoff_batter_vs_pitcher_hand_ops,numeric
leadoff_batter_obp,numeric
leadoff_batter_bb_rate,numeric
leadoff_batter_k_rate,numeric
chain_leadoff_obp_batter2_xbh,numeric
chain_leadoff_obp_batter2_obp_batter3_xbh,numeric
chain_leadoff_bb_batter2_xbh,numeric
slot1_onbase_score,numeric
slot2_contact_score,numeric
slot3_power_score,numeric
ops_std_next3,numeric
xbh_std_next3,numeric
bb_rate_std_next3,numeric
k_rate_std_next3,numeric
ops_max_next3,numeric
xbh_max_next3,numeric
hr_rate_max_next3,numeric
