feature,importance_gain,importance_split
current_pitcher_id,26050.08852505684,1722
batting_order_start,16714.109269678593,366
starting_pitcher_id,15758.493887662888,1256
inning,4148.8913230896,544
pitcher_era_before_inning,4126.541941940784,635
xbh_std_next3,4085.264366388321,548
bb_rate_std_next3,3841.639843940735,509
leadoff_batter_obp,3745.994498848915,492
next_4_batters_vs_pitcher_hand_ops,3636.075107872486,500
slot2_contact_score,3623.1697903871536,496
leadoff_batter_bb_rate,3610.8386479616165,491
leadoff_batter_vs_pitcher_hand_ops,3410.0894634723663,464
leadoff_batter_k_rate,3313.6873881816864,464
ops_std_next3,3291.5443967580795,469
slot3_power_score,3234.301096558571,446
stadium_id,3186.7786216139793,369
chain_leadoff_obp_batter2_xbh,3173.8728582262993,435
next_3_batters_vs_pitcher_hand_ops,3110.0269582271576,413
next_3_batters_vs_pitcher_hand_avg,3104.717919409275,417
chain_leadoff_obp_batter2_obp_batter3_xbh,3058.5243480205536,407
hr_rate_max_next3,3048.7354551553726,384
batting_order_start_group,2940.5923652648926,80
next_3_batters_vs_pitcher_hand_xbh_rate,2896.785685777664,399
opponent_avg_runs_7d,2770.001277446747,354
opponent_starter_era,2532.870234668255,368
team_id,2498.8020226955414,297
team_recent_2plus_inning_rate_7d,2226.0404978990555,320
team_run_scored_inning_rate_7d,2124.1923710107803,293
opponent_run_allowed_inning_rate_7d,1980.4094238877296,295
opponent_recent_2plus_allowed_rate_7d,1952.2811542749405,278
opponent_avg_runs_allowed_7d,1809.6436417102814,248
team_avg_runs_7d,1579.2137998342514,218
score_diff_before_inning,1450.129981637001,244
pitcher_times_through_order,1248.7696809768677,161
score_state_before_inning,885.363274037838,126
is_cleanup_start,568.8336968421936,30
home_away,479.07342076301575,62
is_top_order_start,306.3992667198181,4
pitcher_is_starter,218.80002069473267,21
is_blowout,193.17161083221436,12
opponent_team_id,172.85804986953735,19
is_late_inning,151.02112102508545,19
top_bottom,66.01847088336945,8
is_close_game,61.54597043991089,7
