feature,feature_type
team_id,categorical
opponent_team_id,categorical
home_away,categorical
stadium_id,categorical
starting_pitcher_id,categorical
current_pitcher_id,categorical
batting_order_start_group,categorical
score_state_before_inning,categorical
inning_group,categorical
top_bottom_cat,categorical
score_diff_bin,categorical
batting_order_start_bin,categorical
is_top_order_start_cat,categorical
is_cleanup_start_cat,categorical
pitcher_role_bin,categorical
times_through_order_bin,categorical
close_blowout_state,categorical
team_avg_runs_7d_bin,categorical
opponent_avg_runs_7d_bin,categorical
opponent_avg_runs_allowed_7d_bin,categorical
pitcher_era_before_inning_bin,categorical
opponent_starter_era_bin,categorical
team_run_scored_inning_rate_7d_bin,categorical
opponent_run_allowed_inning_rate_7d_bin,categorical
team_recent_2plus_inning_rate_7d_bin,categorical
opponent_recent_2plus_allowed_rate_7d_bin,categorical
next_3_batters_vs_pitcher_hand_avg_bin,categorical
next_3_batters_vs_pitcher_hand_ops_bin,categorical
next_4_batters_vs_pitcher_hand_ops_bin,categorical
next_3_batters_vs_pitcher_hand_xbh_rate_bin,categorical
