game_date,game_id,team_id,opponent_team_id,inning,top_bottom,home_away,stadium_id,starting_pitcher_id,current_pitcher_id,score_diff_before_inning,team_runs_before_inning,opponent_runs_before_inning,team_avg_runs_7d,opponent_avg_runs_7d,pitcher_era_before_inning,target_runs_in_inning,opponent_avg_runs_allowed_7d,opponent_starter_era,is_late_inning,batting_order_start,pitcher_bf_before_inning,pitcher_runs_allowed_in_game,target_run_scored,target_run_class_3,is_top_order_start,is_cleanup_start,batting_order_start_group,pitcher_is_starter,pitcher_times_through_order,team_run_scored_inning_rate_7d,team_recent_2plus_inning_rate_7d,opponent_run_allowed_inning_rate_7d,opponent_recent_2plus_allowed_rate_7d,target,target_label,score_state_before_inning,is_close_game,is_blowout,current_pitcher_hand,next_3_batters_vs_pitcher_hand_avg,next_3_batters_vs_pitcher_hand_ops,next_4_batters_vs_pitcher_hand_ops,next_3_batters_vs_pitcher_hand_xbh_rate,next_3_batters_vs_hand_known_count,next_4_batters_vs_hand_known_count,inning_group,top_bottom_cat,score_diff_bin,batting_order_start_bin,is_top_order_start_cat,is_cleanup_start_cat,pitcher_role_bin,times_through_order_bin,close_blowout_state,team_run_scored_inning_rate_7d_bin,opponent_run_allowed_inning_rate_7d_bin,team_recent_2plus_inning_rate_7d_bin,opponent_recent_2plus_allowed_rate_7d_bin,next_3_batters_vs_pitcher_hand_xbh_rate_bin,team_avg_runs_7d_bin,opponent_avg_runs_7d_bin,opponent_avg_runs_allowed_7d_bin,pitcher_era_before_inning_bin,opponent_starter_era_bin,next_3_batters_vs_pitcher_hand_avg_bin,next_3_batters_vs_pitcher_hand_ops_bin,next_4_batters_vs_pitcher_hand_ops_bin,team_current_pitcher_pair,opponent_team_current_pitcher_pair,team_stadium_pair,batting_order_group_pitcher_pair,batting_order_group_lineup_ops_bin_pair,current_pitcher_lineup_ops_bin_pair,current_pitcher_lineup_xbh_bin_pair,score_state_lineup_ops_bin_pair,stadium_lineup_xbh_bin_pair,team_lineup_ops_bin_pair,pitcher_era_lineup_ops_bin_pair,inning_group_lineup_ops_bin_pair
2025-03-28,cl2025032801,ヤクルト,巨人,1,0,Away,東京ドーム,P_0001,P_0001,0,0,0,0.0,0.0,,0,0.0,,0,1,0,0,NO_RUN,0_RUN,1,0,top,1,1,0.0,0.0,0.0,0.0,0,NO_RUN,tie,1,0,R,0.0,0.0,0.0,0.0,3,4,early,top,tie,top,top_order,not_cleanup,starter,1st,close,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,very_low,very_low,very_low,ヤクルト__P_0001,巨人__P_0001,ヤクルト__東京ドーム,top__P_0001,top__very_low,P_0001__very_low,P_0001__zero,tie__very_low,東京ドーム__zero,ヤクルト__very_low,zero__very_low,early__very_low
2025-03-28,cl2025032801,ヤクルト,巨人,2,0,Away,東京ドーム,P_0001,P_0001,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,4,3,0,NO_RUN,0_RUN,0,1,middle,1,1,0.0,0.0,0.0,0.0,0,NO_RUN,tie,1,0,R,0.0,0.0,0.0,0.0,3,4,early,top,tie,middle,not_top_order,cleanup,starter,1st,close,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,very_low,very_low,very_low,ヤクルト__P_0001,巨人__P_0001,ヤクルト__東京ドーム,middle__P_0001,middle__very_low,P_0001__very_low,P_0001__zero,tie__very_low,東京ドーム__zero,ヤクルト__very_low,zero__very_low,early__very_low
2025-03-28,cl2025032801,ヤクルト,巨人,3,0,Away,東京ドーム,P_0001,P_0001,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,7,6,0,NO_RUN,0_RUN,0,0,bottom,1,1,0.0,0.0,0.0,0.0,0,NO_RUN,tie,1,0,R,0.0,0.0,0.0,0.0,3,4,early,top,tie,bottom,not_top_order,not_cleanup,starter,1st,close,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,very_low,very_low,very_low,ヤクルト__P_0001,巨人__P_0001,ヤクルト__東京ドーム,bottom__P_0001,bottom__very_low,P_0001__very_low,P_0001__zero,tie__very_low,東京ドーム__zero,ヤクルト__very_low,zero__very_low,early__very_low
2025-03-28,cl2025032801,ヤクルト,巨人,4,0,Away,東京ドーム,P_0001,P_0001,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1,9,0,NO_RUN,0_RUN,1,0,top,1,2,0.0,0.0,0.0,0.0,0,NO_RUN,tie,1,0,R,0.0,0.0,0.0,0.0,3,4,middle,top,tie,top,top_order,not_cleanup,starter,2nd,close,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,very_low,very_low,very_low,ヤクルト__P_0001,巨人__P_0001,ヤクルト__東京ドーム,top__P_0001,top__very_low,P_0001__very_low,P_0001__zero,tie__very_low,東京ドーム__zero,ヤクルト__very_low,zero__very_low,middle__very_low
2025-03-28,cl2025032801,ヤクルト,巨人,5,0,Away,東京ドーム,P_0001,P_0001,0,0,0,0.0,0.0,0.0,4,0.0,0.0,0,1,12,0,RUN_SCORED,2PLUS_RUN,1,0,top,1,2,0.0,0.0,0.0,0.0,1,RUN_SCORED,tie,1,0,R,0.0,0.0,0.0,0.0,3,4,middle,top,tie,top,top_order,not_cleanup,starter,2nd,close,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,very_low,very_low,very_low,ヤクルト__P_0001,巨人__P_0001,ヤクルト__東京ドーム,top__P_0001,top__very_low,P_0001__very_low,P_0001__zero,tie__very_low,東京ドーム__zero,ヤクルト__very_low,zero__very_low,middle__very_low
2025-03-28,cl2025032801,ヤクルト,巨人,6,0,Away,東京ドーム,P_0001,P_0003,4,4,0,0.0,0.0,,1,0.0,,0,4,0,0,RUN_SCORED,1_RUN,0,1,middle,0,1,0.0,0.0,0.0,0.0,1,RUN_SCORED,lead,0,0,R,0.0,0.0,0.0,0.0,3,4,middle,top,lead_big,middle,not_top_order,cleanup,reliever,1st,normal,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,very_low,very_low,very_low,ヤクルト__P_0003,巨人__P_0003,ヤクルト__東京ドーム,middle__P_0003,middle__very_low,P_0003__very_low,P_0003__zero,lead__very_low,東京ドーム__zero,ヤクルト__very_low,zero__very_low,middle__very_low
2025-03-28,cl2025032801,ヤクルト,巨人,7,0,Away,東京ドーム,P_0001,P_0003,5,5,0,0.0,0.0,10.8,0,0.0,,1,1,5,1,NO_RUN,0_RUN,1,0,top,0,1,0.0,0.0,0.0,0.0,0,NO_RUN,lead,0,0,R,0.0,0.0,0.0,0.0,3,4,late,top,lead_big,top,top_order,not_cleanup,reliever,1st,normal,zero,zero,zero,zero,zero,zero,zero,zero,very_high,zero,very_low,very_low,very_low,ヤクルト__P_0003,巨人__P_0003,ヤクルト__東京ドーム,top__P_0003,top__very_low,P_0003__very_low,P_0003__zero,lead__very_low,東京ドーム__zero,ヤクルト__very_low,very_high__very_low,late__very_low
2025-03-28,cl2025032801,ヤクルト,巨人,8,0,Away,東京ドーム,P_0001,P_0005,5,5,0,0.0,0.0,,0,0.0,,1,4,0,0,NO_RUN,0_RUN,0,1,middle,0,1,0.0,0.0,0.0,0.0,0,NO_RUN,lead,0,0,R,0.0,0.0,0.0,0.0,3,4,late,top,lead_big,middle,not_top_order,cleanup,reliever,1st,normal,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,very_low,very_low,very_low,ヤクルト__P_0005,巨人__P_0005,ヤクルト__東京ドーム,middle__P_0005,middle__very_low,P_0005__very_low,P_0005__zero,lead__very_low,東京ドーム__zero,ヤクルト__very_low,zero__very_low,late__very_low
2025-03-28,cl2025032801,ヤクルト,巨人,9,0,Away,東京ドーム,P_0001,P_0005,3,5,2,0.0,0.0,0.0,0,0.0,,1,7,3,0,NO_RUN,0_RUN,0,0,bottom,0,1,0.0,0.0,0.0,0.0,0,NO_RUN,lead,1,0,R,0.0,0.0,0.0,0.0,3,4,late,top,lead,bottom,not_top_order,not_cleanup,reliever,1st,close,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,very_low,very_low,very_low,ヤクルト__P_0005,巨人__P_0005,ヤクルト__東京ドーム,bottom__P_0005,bottom__very_low,P_0005__very_low,P_0005__zero,lead__very_low,東京ドーム__zero,ヤクルト__very_low,zero__very_low,late__very_low
2025-03-28,cl2025032801,ヤクルト,巨人,10,0,Away,東京ドーム,P_0001,P_0009,0,5,5,0.0,0.0,,0,0.0,,1,1,0,0,NO_RUN,0_RUN,1,0,top,0,1,0.0,0.0,0.0,0.0,0,NO_RUN,tie,1,0,R,0.0,0.0,0.0,0.0,3,4,extra,top,tie,top,top_order,not_cleanup,reliever,1st,close,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,very_low,very_low,very_low,ヤクルト__P_0009,巨人__P_0009,ヤクルト__東京ドーム,top__P_0009,top__very_low,P_0009__very_low,P_0009__zero,tie__very_low,東京ドーム__zero,ヤクルト__very_low,zero__very_low,extra__very_low
2025-03-28,cl2025032801,巨人,ヤクルト,1,1,Home,東京ドーム,P_0002,P_0002,0,0,0,0.0,0.0,,0,0.0,,0,1,0,0,NO_RUN,0_RUN,1,0,top,1,1,0.0,0.0,0.0,0.0,0,NO_RUN,tie,1,0,R,0.6666666666666666,1.6666666666666667,1.25,0.3333333333333333,3,4,early,bottom,tie,top,top_order,not_cleanup,starter,1st,close,zero,zero,zero,zero,high,zero,zero,zero,zero,zero,elite,elite,elite,巨人__P_0002,ヤクルト__P_0002,巨人__東京ドーム,top__P_0002,top__elite,P_0002__elite,P_0002__high,tie__elite,東京ドーム__high,巨人__elite,zero__elite,early__elite
2025-03-28,cl2025032801,巨人,ヤクルト,2,1,Home,東京ドーム,P_0002,P_0002,0,0,0,0.0,0.0,10.8,0,0.0,10.8,0,1,5,0,NO_RUN,0_RUN,1,0,top,1,1,0.0,0.0,0.0,0.0,0,NO_RUN,tie,1,0,R,0.6666666666666666,1.6666666666666667,1.25,0.3333333333333333,3,4,early,bottom,tie,top,top_order,not_cleanup,starter,1st,close,zero,zero,zero,zero,high,zero,zero,zero,very_high,very_high,elite,elite,elite,巨人__P_0002,ヤクルト__P_0002,巨人__東京ドーム,top__P_0002,top__elite,P_0002__elite,P_0002__high,tie__elite,東京ドーム__high,巨人__elite,very_high__elite,early__elite
2025-03-28,cl2025032801,巨人,ヤクルト,3,1,Home,東京ドーム,P_0002,P_0002,0,0,0,0.0,0.0,12.2727,0,0.0,12.2727,0,3,11,0,NO_RUN,0_RUN,1,1,top,1,2,0.0,0.0,0.0,0.0,0,NO_RUN,tie,1,0,R,0.0,0.0,0.0,0.0,3,4,early,bottom,tie,top,top_order,cleanup,starter,2nd,close,zero,zero,zero,zero,zero,zero,zero,zero,very_high,very_high,very_low,very_low,very_low,巨人__P_0002,ヤクルト__P_0002,巨人__東京ドーム,top__P_0002,top__very_low,P_0002__very_low,P_0002__zero,tie__very_low,東京ドーム__zero,巨人__very_low,very_high__very_low,early__very_low
2025-03-28,cl2025032801,巨人,ヤクルト,4,1,Home,東京ドーム,P_0002,P_0002,0,0,0,0.0,0.0,9.6429,0,0.0,9.6429,0,6,14,0,NO_RUN,0_RUN,0,0,middle,1,2,0.0,0.0,0.0,0.0,0,NO_RUN,tie,1,0,R,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.0,3,3,middle,bottom,tie,middle,not_top_order,not_cleanup,starter,2nd,close,zero,zero,zero,zero,zero,zero,zero,zero,very_high,very_high,elite,elite,elite,巨人__P_0002,ヤクルト__P_0002,巨人__東京ドーム,middle__P_0002,middle__elite,P_0002__elite,P_0002__zero,tie__elite,東京ドーム__zero,巨人__elite,very_high__elite,middle__elite
2025-03-28,cl2025032801,巨人,ヤクルト,5,1,Home,東京ドーム,P_0002,P_0002,-4,0,4,0.0,0.0,7.9412,0,0.0,7.9412,0,1,17,0,NO_RUN,0_RUN,1,0,top,1,2,0.0,0.0,0.0,0.0,0,NO_RUN,behind,0,0,R,0.6666666666666666,1.6666666666666667,1.25,0.3333333333333333,3,4,middle,bottom,behind_big,top,top_order,not_cleanup,starter,2nd,normal,zero,zero,zero,zero,high,zero,zero,zero,very_high,very_high,elite,elite,elite,巨人__P_0002,ヤクルト__P_0002,巨人__東京ドーム,top__P_0002,top__elite,P_0002__elite,P_0002__high,behind__elite,東京ドーム__high,巨人__elite,very_high__elite,middle__elite
2025-03-28,cl2025032801,巨人,ヤクルト,6,1,Home,東京ドーム,P_0002,P_0002,-5,0,5,0.0,0.0,7.7143,0,0.0,7.7143,0,4,21,0,NO_RUN,0_RUN,0,1,middle,1,3,0.0,0.0,0.0,0.0,0,NO_RUN,behind,0,0,R,0.0,0.0,0.5,0.0,3,4,middle,bottom,behind_big,middle,not_top_order,cleanup,starter,3rd,normal,zero,zero,zero,zero,zero,zero,zero,zero,very_high,very_high,very_low,very_low,very_low,巨人__P_0002,ヤクルト__P_0002,巨人__東京ドーム,middle__P_0002,middle__very_low,P_0002__very_low,P_0002__zero,behind__very_low,東京ドーム__zero,巨人__very_low,very_high__very_low,middle__very_low
2025-03-28,cl2025032801,巨人,ヤクルト,7,1,Home,東京ドーム,P_0002,P_0004,-5,0,5,0.0,0.0,,0,0.0,,1,7,0,0,NO_RUN,0_RUN,0,0,bottom,0,1,0.0,0.0,0.0,0.0,0,NO_RUN,behind,0,0,R,1.0,2.0,2.0,0.0,2,3,late,bottom,behind_big,bottom,not_top_order,not_cleanup,reliever,1st,normal,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,elite,elite,elite,巨人__P_0004,ヤクルト__P_0004,巨人__東京ドーム,bottom__P_0004,bottom__elite,P_0004__elite,P_0004__zero,behind__elite,東京ドーム__zero,巨人__elite,zero__elite,late__elite
2025-03-28,cl2025032801,巨人,ヤクルト,8,1,Home,東京ドーム,P_0002,P_0006,-5,0,5,0.0,0.0,,2,0.0,,1,1,0,0,RUN_SCORED,2PLUS_RUN,1,0,top,0,1,0.0,0.0,0.0,0.0,1,RUN_SCORED,behind,0,0,L,1.0,3.5,3.5,0.3333333333333333,2,2,late,bottom,behind_big,top,top_order,not_cleanup,reliever,1st,normal,zero,zero,zero,zero,high,zero,zero,zero,zero,zero,elite,elite,elite,巨人__P_0006,ヤクルト__P_0006,巨人__東京ドーム,top__P_0006,top__elite,P_0006__elite,P_0006__high,behind__elite,東京ドーム__high,巨人__elite,zero__elite,late__elite
2025-03-28,cl2025032801,巨人,ヤクルト,9,1,Home,東京ドーム,P_0002,P_0008,-3,2,5,0.0,0.0,,3,0.0,,1,1,0,0,RUN_SCORED,2PLUS_RUN,1,0,top,0,1,0.0,0.0,0.0,0.0,1,RUN_SCORED,behind,1,0,L,1.0,3.5,3.5,0.3333333333333333,2,2,late,bottom,behind,top,top_order,not_cleanup,reliever,1st,close,zero,zero,zero,zero,high,zero,zero,zero,zero,zero,elite,elite,elite,巨人__P_0008,ヤクルト__P_0008,巨人__東京ドーム,top__P_0008,top__elite,P_0008__elite,P_0008__high,behind__elite,東京ドーム__high,巨人__elite,zero__elite,late__elite
2025-03-28,cl2025032801,巨人,ヤクルト,10,1,Home,東京ドーム,P_0002,P_0010,0,5,5,0.0,0.0,,1,0.0,,1,1,0,0,RUN_SCORED,1_RUN,1,0,top,0,1,0.0,0.0,0.0,0.0,1,RUN_SCORED,tie,1,0,R,0.6666666666666666,1.6666666666666667,1.25,0.3333333333333333,3,4,extra,bottom,tie,top,top_order,not_cleanup,reliever,1st,close,zero,zero,zero,zero,high,zero,zero,zero,zero,zero,elite,elite,elite,巨人__P_0010,ヤクルト__P_0010,巨人__東京ドーム,top__P_0010,top__elite,P_0010__elite,P_0010__high,tie__elite,東京ドーム__high,巨人__elite,zero__elite,extra__elite
2025-03-28,cl2025032802,中日,ＤｅＮＡ,1,0,Away,横浜,P_0011,P_0011,0,0,0,0.0,0.0,,0,0.0,,0,1,0,0,NO_RUN,0_RUN,1,0,top,1,1,0.0,0.0,0.0,0.0,0,NO_RUN,tie,1,0,L,0.3333333333333333,0.6666666666666666,0.5,0.0,3,4,early,top,tie,top,top_order,not_cleanup,starter,1st,close,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,elite,mid,very_low,中日__P_0011,ＤｅＮＡ__P_0011,中日__横浜,top__P_0011,top__mid,P_0011__mid,P_0011__zero,tie__mid,横浜__zero,中日__mid,zero__mid,early__mid
2025-03-28,cl2025032802,中日,ＤｅＮＡ,2,0,Away,横浜,P_0011,P_0011,-1,0,1,0.0,0.0,6.75,0,0.0,6.75,0,5,4,0,NO_RUN,0_RUN,0,1,middle,1,1,0.0,0.0,0.0,0.0,0,NO_RUN,behind,1,0,L,0.0,0.0,0.0,0.0,3,4,early,top,behind,middle,not_top_order,cleanup,starter,1st,close,zero,zero,zero,zero,zero,zero,zero,zero,very_high,very_high,very_low,very_low,very_low,中日__P_0011,ＤｅＮＡ__P_0011,中日__横浜,middle__P_0011,middle__very_low,P_0011__very_low,P_0011__zero,behind__very_low,横浜__zero,中日__very_low,very_high__very_low,early__very_low
2025-03-28,cl2025032802,中日,ＤｅＮＡ,3,0,Away,横浜,P_0011,P_0011,-2,0,2,0.0,0.0,3.8571,0,0.0,3.8571,0,1,7,0,NO_RUN,0_RUN,1,0,top,1,1,0.0,0.0,0.0,0.0,0,NO_RUN,behind,1,0,L,0.3333333333333333,0.6666666666666666,0.5,0.0,3,4,early,top,behind,top,top_order,not_cleanup,starter,1st,close,zero,zero,zero,zero,zero,zero,zero,zero,mid,mid,elite,mid,very_low,中日__P_0011,ＤｅＮＡ__P_0011,中日__横浜,top__P_0011,top__mid,P_0011__mid,P_0011__zero,behind__mid,横浜__zero,中日__mid,mid__mid,early__mid
2025-03-28,cl2025032802,中日,ＤｅＮＡ,4,0,Away,横浜,P_0011,P_0011,-2,0,2,0.0,0.0,4.9091,0,0.0,4.9091,0,3,11,0,NO_RUN,0_RUN,1,1,top,1,2,0.0,0.0,0.0,0.0,0,NO_RUN,behind,1,0,L,0.3333333333333333,0.6666666666666666,0.5,0.0,3,4,middle,top,behind,top,top_order,cleanup,starter,2nd,close,zero,zero,zero,zero,zero,zero,zero,zero,high,high,elite,mid,very_low,中日__P_0011,ＤｅＮＡ__P_0011,中日__横浜,top__P_0011,top__mid,P_0011__mid,P_0011__zero,behind__mid,横浜__zero,中日__mid,high__mid,middle__mid
2025-03-28,cl2025032802,中日,ＤｅＮＡ,5,0,Away,横浜,P_0011,P_0011,-2,0,2,0.0,0.0,3.8571,0,0.0,3.8571,0,6,14,0,NO_RUN,0_RUN,0,0,middle,1,2,0.0,0.0,0.0,0.0,0,NO_RUN,behind,1,0,L,0.0,0.0,0.0,0.0,3,4,middle,top,behind,middle,not_top_order,not_cleanup,starter,2nd,close,zero,zero,zero,zero,zero,zero,zero,zero,mid,mid,very_low,very_low,very_low,中日__P_0011,ＤｅＮＡ__P_0011,中日__横浜,middle__P_0011,middle__very_low,P_0011__very_low,P_0011__zero,behind__very_low,横浜__zero,中日__very_low,mid__very_low,middle__very_low
2025-03-28,cl2025032802,中日,ＤｅＮＡ,6,0,Away,横浜,P_0011,P_0011,-3,0,3,0.0,0.0,4.5,0,0.0,4.5,0,1,18,0,NO_RUN,0_RUN,1,0,top,1,3,0.0,0.0,0.0,0.0,0,NO_RUN,behind,1,0,L,0.3333333333333333,0.6666666666666666,0.5,0.0,3,4,middle,top,behind,top,top_order,not_cleanup,starter,3rd,close,zero,zero,zero,zero,zero,zero,zero,zero,high,high,elite,mid,very_low,中日__P_0011,ＤｅＮＡ__P_0011,中日__横浜,top__P_0011,top__mid,P_0011__mid,P_0011__zero,behind__mid,横浜__zero,中日__mid,high__mid,middle__mid
