feature,importance_gain,importance_split
current_pitcher_id,28053.799200296402,2036
batting_order_start,16898.767708301544,490
starting_pitcher_id,15455.954516530037,1437
pitcher_era_before_inning,6991.450691640377,1169
next_4_batters_vs_pitcher_hand_ops,6943.705214977264,1071
next_3_batters_vs_pitcher_hand_xbh_rate,6807.431986391544,1081
next_3_batters_vs_pitcher_hand_avg,6333.31093364954,972
inning,6160.436282455921,890
next_3_batters_vs_pitcher_hand_ops,6093.130057394505,933
opponent_avg_runs_7d,4866.2359755039215,746
team_id,4328.022173404694,600
opponent_run_allowed_inning_rate_7d,4149.2967675328255,657
opponent_starter_era,4145.896230340004,653
stadium_id,3909.779675900936,517
team_recent_2plus_inning_rate_7d,3888.875987648964,637
opponent_recent_2plus_allowed_rate_7d,3757.100568294525,619
team_run_scored_inning_rate_7d,3674.826156616211,599
opponent_avg_runs_allowed_7d,3348.2616506814957,527
batting_order_start_group,3335.444520711899,134
team_avg_runs_7d,2834.842927455902,465
pitcher_times_through_order,1745.6842708587646,265
score_diff_before_inning,1710.8755314946175,340
score_state_before_inning,1436.8600574731827,235
is_cleanup_start,739.8653717041016,45
home_away,660.657769203186,103
is_top_order_start,615.1618690490723,4
opponent_team_id,286.11394119262695,37
pitcher_is_starter,250.61868023872375,34
is_blowout,208.56463289260864,12
top_bottom,163.6549789905548,26
is_close_game,125.79692149162292,20
is_late_inning,122.4310896396637,16
