game_date,stadium_id,top_bottom,bat_order,batter_obp,batter_ops,batter_xbh_rate,batter_vs_rhp_avg,batter_vs_rhp_ops,batter_vs_lhp_avg,batter_vs_lhp_ops
2025-03-28,みずほペイペイドーム,0,1,0.3344,0.67,0.0,0.0,0.0,,
2025-03-28,みずほペイペイドーム,0,2,0.34,0.6582,0.0,0.0,0.0,,
2025-03-28,みずほペイペイドーム,0,3,0.3291,0.7005,0.0,0.0,0.0,,
2025-03-28,みずほペイペイドーム,0,4,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,みずほペイペイドーム,0,5,0.2778,0.5153,0.0,0.0,0.0,,
2025-03-28,みずほペイペイドーム,0,6,0.2222,0.5299,0.0,0.0,0.0,,
2025-03-28,みずほペイペイドーム,0,7,0.2414,0.5628,0.0,0.0,0.0,,
2025-03-28,みずほペイペイドーム,0,8,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,みずほペイペイドーム,0,9,0.1795,0.3637,0.0,0.0,0.0,,
2025-03-28,みずほペイペイドーム,1,1,0.3971,0.7246,1.0,,,1.0,3.0
2025-03-28,みずほペイペイドーム,1,2,0.2963,0.6963,0.0,0.0,0.0,0.0,0.0
2025-03-28,みずほペイペイドーム,1,3,0.0,0.0,0.0,1.0,2.0,0.0,0.0
2025-03-28,みずほペイペイドーム,1,4,0.2333,0.3815,0.0,0.0,0.0,0.0,0.0
2025-03-28,みずほペイペイドーム,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,みずほペイペイドーム,1,6,0.2703,0.6036,1.0,0.0,0.0,1.0,3.0
2025-03-28,みずほペイペイドーム,1,7,0.25,0.625,0.0,0.0,0.0,0.0,0.0
2025-03-28,みずほペイペイドーム,1,8,0.2709,0.6545,0.0,0.0,0.0,0.0,0.0
2025-03-28,みずほペイペイドーム,1,9,1.0,,0.0,,,,
2025-03-28,ベルーナドーム,0,1,0.2414,0.5377,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,0,2,0.3472,0.7884,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,0,3,0.3607,0.9045,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,0,4,0.2796,0.7351,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,0,5,0.375,1.125,1.0,1.0,3.0,,
2025-03-28,ベルーナドーム,0,6,0.3333,0.7778,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,0,7,0.3429,0.6762,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,0,8,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,0,9,0.3393,0.8201,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,1,1,0.3288,0.7915,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,1,2,0.3236,0.6475,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,1,3,0.3662,0.6777,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,1,4,0.2667,0.508,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,1,5,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,1,6,0.2927,0.4692,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,1,7,0.2903,0.5785,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,1,8,0.2941,0.5084,0.0,0.0,0.0,,
2025-03-28,ベルーナドーム,1,9,0.0714,0.2143,0.0,0.0,0.0,,
2025-03-28,マツダスタジアム,0,1,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2025-03-28,マツダスタジアム,0,2,1.0,0.5,0.0,0.0,0.5,0.0,0.0
2025-03-28,マツダスタジアム,0,3,1.0,5.0,1.0,1.0,5.0,,
2025-03-28,マツダスタジアム,0,4,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,マツダスタジアム,0,5,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,マツダスタジアム,0,6,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,マツダスタジアム,0,7,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,マツダスタジアム,0,8,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,マツダスタジアム,0,9,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,マツダスタジアム,1,1,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,マツダスタジアム,1,2,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,マツダスタジアム,1,3,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,マツダスタジアム,1,4,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,マツダスタジアム,1,5,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,マツダスタジアム,1,6,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,マツダスタジアム,1,7,1.0,3.0,1.0,1.0,3.0,,
2025-03-28,マツダスタジアム,1,8,0.0,0.0,0.0,,,,
2025-03-28,マツダスタジアム,1,9,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,京セラドーム大阪,0,1,0.2632,0.4774,0.0,,,0.0,0.0
2025-03-28,京セラドーム大阪,0,2,0.2712,0.6045,0.0,,,0.0,0.0
2025-03-28,京セラドーム大阪,0,3,0.2424,0.6174,0.0,,,0.0,0.0
2025-03-28,京セラドーム大阪,0,4,0.3333,0.6481,0.0,,,0.0,0.0
2025-03-28,京セラドーム大阪,0,5,0.4384,0.8243,0.0,,,0.0,0.0
2025-03-28,京セラドーム大阪,0,6,0.3125,0.6631,0.0,,,0.0,0.0
2025-03-28,京セラドーム大阪,0,7,0.2282,0.5208,0.0,,,0.0,0.0
2025-03-28,京セラドーム大阪,0,8,0.2936,0.607,0.0,,,0.0,0.0
2025-03-28,京セラドーム大阪,0,9,0.0,0.0,0.0,,,0.0,0.0
2025-03-28,京セラドーム大阪,1,1,0.2963,0.6944,0.0,,,0.0,0.0
2025-03-28,京セラドーム大阪,1,2,0.3556,0.7556,0.0,,,0.0,0.0
2025-03-28,京セラドーム大阪,1,3,0.322,0.675,0.0,,,0.0,0.0
2025-03-28,京セラドーム大阪,1,4,0.3699,0.8916,0.0,,,0.0,0.0
2025-03-28,京セラドーム大阪,1,5,0.3291,0.6589,0.0,1.0,2.0,1.0,2.0
2025-03-28,京セラドーム大阪,1,6,0.2903,0.5853,1.0,,,1.0,5.0
2025-03-28,京セラドーム大阪,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,京セラドーム大阪,1,8,0.2958,0.5377,0.0,,,1.0,2.0
2025-03-28,京セラドーム大阪,1,9,0.3158,0.7047,0.0,,,0.0,0.0
2025-03-28,東京ドーム,0,1,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,東京ドーム,0,2,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,東京ドーム,0,3,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,東京ドーム,0,4,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,東京ドーム,0,5,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,東京ドーム,0,6,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,東京ドーム,0,7,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,東京ドーム,0,8,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,東京ドーム,0,9,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,東京ドーム,1,1,1.0,2.0,0.0,1.0,2.0,1.0,2.0
2025-03-28,東京ドーム,1,2,1.0,3.0,1.0,1.0,3.0,1.0,5.0
2025-03-28,東京ドーム,1,3,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,東京ドーム,1,4,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,東京ドーム,1,5,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,東京ドーム,1,6,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,東京ドーム,1,7,1.0,2.0,0.0,1.0,2.0,1.0,2.0
2025-03-28,東京ドーム,1,8,1.0,2.0,0.0,1.0,2.0,0.0,0.0
2025-03-28,東京ドーム,1,9,,,,,,,
2025-03-28,横浜,0,1,0.0,0.0,0.0,,,0.0,0.0
2025-03-28,横浜,0,2,0.0,0.0,0.0,,,0.0,0.0
2025-03-28,横浜,0,3,1.0,2.0,0.0,,,1.0,2.0
2025-03-28,横浜,0,4,0.0,0.0,0.0,,,0.0,0.0
2025-03-28,横浜,0,5,0.0,0.0,0.0,,,0.0,0.0
2025-03-28,横浜,0,6,0.0,0.0,0.0,,,0.0,0.0
2025-03-28,横浜,0,7,0.0,0.0,0.0,,,0.0,0.0
2025-03-28,横浜,0,8,0.0,0.0,0.0,,,0.0,0.0
2025-03-28,横浜,0,9,0.0,0.0,0.0,,,0.0,0.0
2025-03-28,横浜,1,1,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,横浜,1,2,1.0,2.0,0.0,1.0,2.0,,
2025-03-28,横浜,1,3,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,横浜,1,4,1.0,3.0,1.0,1.0,3.0,,
2025-03-28,横浜,1,5,1.0,2.0,0.0,1.0,2.0,,
2025-03-28,横浜,1,6,1.0,0.5,0.0,0.0,0.5,,
2025-03-28,横浜,1,7,0.0,0.0,0.0,0.0,0.0,,
2025-03-28,横浜,1,8,1.0,2.0,0.0,1.0,2.0,,
2025-03-28,横浜,1,9,0.0,0.0,0.0,0.0,0.0,,
2025-03-29,みずほペイペイドーム,0,1,0.36,0.7513,0.0,0.0,0.0,0.0,0.0
2025-03-29,みずほペイペイドーム,0,2,0.3323,0.6668,0.0,0.25,0.5,0.0,0.0
2025-03-29,みずほペイペイドーム,0,3,0.3091,0.5948,0.0,0.0,0.0,0.0,0.0
2025-03-29,みずほペイペイドーム,0,4,0.1935,0.4602,0.0,0.0,0.0,0.0,0.0
2025-03-29,みずほペイペイドーム,0,5,0.2842,0.558,0.2,0.25,1.4,0.0,0.0
2025-03-29,みずほペイペイドーム,0,6,0.4,0.8,0.0,0.4,0.8,0.0,0.0
2025-03-29,みずほペイペイドーム,0,7,0.3188,0.754,0.0,0.0,0.0,0.0,0.0
2025-03-29,みずほペイペイドーム,0,8,0.3151,0.6434,0.0,,,1.0,2.0
2025-03-29,みずほペイペイドーム,0,9,0.2833,0.5241,0.0,0.0,0.0,0.0,0.0
2025-03-29,みずほペイペイドーム,1,1,0.3973,0.7465,0.2,0.0,0.0,0.5,1.25
2025-03-29,みずほペイペイドーム,1,2,0.2881,0.6585,0.0,0.0,0.0,0.0,0.333333
2025-03-29,みずほペイペイドーム,1,3,0.25,0.5,0.0,0.5,1.0,0.0,0.0
2025-03-29,みずほペイペイドーム,1,4,0.2353,0.4288,0.25,0.0,0.0,0.5,1.5
2025-03-29,みずほペイペイドーム,1,5,0.25,0.5,0.0,0.5,1.0,0.0,0.0
2025-03-29,みずほペイペイドーム,1,6,0.275,0.634,0.25,0.0,0.0,0.5,1.5
2025-03-29,みずほペイペイドーム,1,7,0.25,0.5227,0.0,0.0,0.0,0.0,0.5
2025-03-29,みずほペイペイドーム,1,8,0.2667,0.6438,0.0,0.0,0.0,0.0,0.0
2025-03-29,みずほペイペイドーム,1,9,0.16,0.2055,1.0,1.0,4.0,,
2025-03-29,ベルーナドーム,0,1,0.3175,0.7385,0.0,0.0,0.0,,
2025-03-29,ベルーナドーム,0,2,0.3421,0.8143,0.25,0.25,1.25,,
2025-03-29,ベルーナドーム,0,3,0.3692,0.9594,0.25,0.5,1.75,,
2025-03-29,ベルーナドーム,0,4,0.268,0.7042,0.0,0.0,0.0,,
2025-03-29,ベルーナドーム,0,5,0.434,0.8885,0.0,0.0,0.0,,
2025-03-29,ベルーナドーム,0,6,0.5,1.0,0.0,0.0,0.0,,
