team,name,Hand,AB,H,2B,3B,HR,TB,BB,HBP,SF
巨人,赤星優志,右打,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,秋広優人,左打,46.0,12.0,1.0,0.0,0.0,13.0,2.0,0.0,0.0
巨人,浅野翔吾,右打,146.0,35.0,11.0,2.0,3.0,59.0,7.0,2.0,1.0
巨人,泉口友汰,左打,164.0,33.0,6.0,1.0,1.0,44.0,18.0,0.0,0.0
巨人,泉圭輔,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,伊藤優輔,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,井上温大,左打,28.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
巨人,今村信貴,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,ウレーニャ,右打,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
巨人,オコエ瑠偉,右打,138.0,36.0,9.0,0.0,3.0,54.0,9.0,1.0,1.0
巨人,大江竜聖,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,大城卓三,左打,283.0,72.0,17.0,0.0,3.0,98.0,31.0,3.0,4.0
巨人,岡田悠希,左打,7.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
巨人,岡本和真,右打,535.0,150.0,37.0,0.0,27.0,268.0,66.0,5.0,5.0
巨人,梶谷隆幸,左打,16.0,3.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0
巨人,門脇誠,左打,350.0,85.0,9.0,1.0,0.0,96.0,37.0,2.0,0.0
巨人,岸田行倫,右打,269.0,65.0,10.0,1.0,4.0,89.0,14.0,4.0,2.0
巨人,喜多隆介,右打,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,京本眞,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,グリフィン,左打,30.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0
巨人,ケラー,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,郡拓也,右打,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,小林誠司,右打,105.0,16.0,3.0,0.0,1.0,22.0,9.0,2.0,0.0
巨人,坂本勇人,右打,395.0,94.0,14.0,0.0,7.0,129.0,27.0,1.0,3.0
巨人,佐々木俊輔,左打,143.0,33.0,5.0,1.0,0.0,40.0,9.0,0.0,1.0
巨人,重信慎之介,左打,15.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
巨人,菅野智之,右打,45.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
巨人,大勢,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,高梨雄平,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,高橋礼,右打,13.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
巨人,立岡宗一郎,左打,84.0,18.0,0.0,0.0,0.0,18.0,11.0,0.0,0.0
巨人,田中千晴,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,長野久義,右打,89.0,23.0,3.0,1.0,0.0,28.0,9.0,0.0,0.0
巨人,戸郷翔征,右打,39.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
巨人,中川皓太,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,中山礼都,左打,44.0,14.0,3.0,0.0,0.0,17.0,4.0,0.0,0.0
巨人,西舘勇陽,右打,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,バルドナード,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,萩尾匡也,右打,149.0,32.0,8.0,2.0,2.0,50.0,11.0,1.0,1.0
巨人,畠世周,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,馬場皐輔,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,船迫大雅,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
巨人,ヘルナンデス,右打,221.0,65.0,11.0,0.0,8.0,100.0,15.0,3.0,1.0
巨人,平内龍太,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,堀田賢慎,右打,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
巨人,増田大輝,右打,30.0,6.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0
巨人,増田陸,右打,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
巨人,又木鉄平,左打,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,松井颯,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,松原聖弥,左打,13.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
巨人,丸佳浩,左打,525.0,146.0,18.0,1.0,14.0,208.0,65.0,3.0,2.0
巨人,メンデス,左打,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨人,モンテス,右打,151.0,41.0,15.0,0.0,1.0,59.0,7.0,1.0,0.0
巨人,山﨑伊織,左打,44.0,6.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0
巨人,山瀬慎之助,右打,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
巨人,湯浅大,右打,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
巨人,横川凱,左打,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
巨人,吉川尚輝,左打,536.0,154.0,25.0,4.0,5.0,202.0,41.0,6.0,6.0
巨人,若林楽人,右打,42.0,9.0,1.0,1.0,1.0,15.0,1.0,1.0,0.0
阪神,青柳晃洋,右打,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
阪神,石井大智,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,石黒佑弥,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,伊藤将司,左打,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
阪神,糸原健斗,左打,111.0,24.0,2.0,0.0,0.0,26.0,15.0,1.0,1.0
阪神,井上広大,右打,52.0,11.0,2.0,0.0,3.0,22.0,3.0,0.0,0.0
阪神,岩崎優,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,岩貞祐太,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,植田海,両打,11.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0
阪神,梅野隆太郎,右打,268.0,56.0,9.0,0.0,0.0,65.0,30.0,1.0,2.0
阪神,漆原大晟,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,大竹耕太郎,左打,46.0,8.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0
阪神,大山悠輔,右打,483.0,125.0,18.0,0.0,14.0,185.0,52.0,7.0,3.0
阪神,岡留英貴,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,小野寺暖,右打,27.0,4.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0
阪神,小幡竜平,左打,116.0,28.0,3.0,1.0,1.0,36.0,12.0,0.0,0.0
阪神,及川雅貴,左打,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
阪神,加治屋蓮,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,川原陸,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,木浪聖也,左打,359.0,77.0,13.0,1.0,1.0,95.0,32.0,4.0,1.0
阪神,桐敷拓馬,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,熊谷敬宥,右打,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
阪神,ゲラ,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,才木浩人,右打,40.0,3.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0
阪神,榮枝裕貴,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,坂本誠志郎,右打,193.0,43.0,3.0,0.0,0.0,46.0,12.0,2.0,1.0
阪神,佐藤輝明,左打,451.0,121.0,21.0,4.0,16.0,198.0,36.0,5.0,4.0
阪神,佐藤蓮,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,島田海吏,左打,80.0,22.0,2.0,0.0,0.0,24.0,10.0,1.0,0.0
阪神,島本浩也,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,髙橋遥人,左打,9.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
阪神,近本光司,左打,562.0,160.0,16.0,5.0,6.0,204.0,68.0,5.0,4.0
阪神,富田蓮,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,豊田寛,右打,19.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
阪神,長坂拳弥,右打,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,中野拓夢,左打,547.0,127.0,20.0,2.0,1.0,154.0,46.0,5.0,1.0
阪神,西純矢,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,西勇輝,右打,38.0,7.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0
阪神,ノイジー,右打,134.0,31.0,5.0,0.0,1.0,39.0,14.0,0.0,1.0
阪神,野口恭佑,右打,53.0,10.0,0.0,0.0,0.0,10.0,5.0,2.0,1.0
阪神,浜地真澄,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,原口文仁,右打,58.0,14.0,1.0,0.0,2.0,21.0,5.0,2.0,0.0
阪神,ビーズリー,右打,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
阪神,前川右京,左打,324.0,87.0,16.0,0.0,4.0,115.0,27.0,10.0,1.0
阪神,ミエセス,右打,18.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
阪神,村上頌樹,左打,44.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
阪神,森下翔太,右打,458.0,126.0,24.0,2.0,16.0,202.0,53.0,12.0,3.0
阪神,門別啓人,左打,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,渡邉諒,右打,123.0,32.0,5.0,0.0,2.0,43.0,11.0,1.0,2.0
DeNA,東克樹,左打,51.0,5.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0
DeNA,東妻純平,右打,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
DeNA,石上泰輝,左打,71.0,13.0,4.0,0.0,0.0,17.0,6.0,0.0,0.0
DeNA,石川達也,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,石田健大,左打,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DeNA,石田裕太郎,右打,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,伊勢大夢,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,伊藤光,右打,88.0,18.0,4.0,0.0,1.0,25.0,4.0,2.0,0.0
DeNA,井上絢登,左打,42.0,8.0,5.0,0.0,0.0,13.0,2.0,2.0,0.0
DeNA,ウィック,左打,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,ウェンデルケン,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,蝦名達夫,右打,223.0,57.0,13.0,0.0,3.0,79.0,17.0,6.0,1.0
DeNA,オースティン,右打,396.0,125.0,34.0,2.0,25.0,238.0,45.0,0.0,4.0
DeNA,大貫晋一,右打,24.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
DeNA,梶原昂希,左打,339.0,99.0,16.0,3.0,4.0,133.0,7.0,4.0,0.0
DeNA,神里和毅,左打,23.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
DeNA,上茶谷大河,右打,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,京田陽太,左打,216.0,53.0,7.0,1.0,1.0,65.0,13.0,0.0,3.0
DeNA,京山将弥,右打,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,楠本泰史,左打,29.0,5.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0
DeNA,桑原将志,右打,285.0,77.0,12.0,0.0,5.0,104.0,19.0,4.0,4.0
DeNA,ケイ,左打,38.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
DeNA,小園健太,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,坂本裕哉,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,佐々木千隼,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,佐野恵太,左打,524.0,143.0,34.0,0.0,8.0,201.0,35.0,4.0,3.0
DeNA,ジャクソン,右打,41.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
DeNA,柴田竜拓,左打,23.0,6.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0
DeNA,関根大気,左打,128.0,29.0,2.0,0.0,0.0,31.0,11.0,2.0,0.0
DeNA,平良拳太郎,右打,10.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
DeNA,知野直人,右打,18.0,2.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0
DeNA,筒香嘉智,左打,149.0,28.0,6.0,3.0,7.0,61.0,16.0,2.0,1.0
DeNA,ディアス,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,徳山壮磨,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,戸柱恭孝,左打,90.0,22.0,4.0,0.0,0.0,26.0,5.0,1.0,0.0
DeNA,中川虎大,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,中川颯,左打,12.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
DeNA,西浦直亨,右打,15.0,4.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0
DeNA,濵口遥大,左打,14.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
DeNA,林琢真,左打,102.0,17.0,5.0,1.0,0.0,24.0,8.0,1.0,1.0
