name,AB,H,2B,3B,HR,TB,BB,HBP,SF
赤星優志,30.0,7.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0
秋広優人,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
浅野翔吾,75.0,14.0,4.0,0.0,2.0,24.0,4.0,2.0,1.0
荒巻悠,54.0,16.0,1.0,0.0,1.0,20.0,7.0,0.0,0.0
石川達也,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
石塚裕惺,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
泉口友汰,512.0,154.0,23.0,3.0,6.0,201.0,47.0,4.0,3.0
泉圭輔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
井上温大,29.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
浦田俊輔,53.0,11.0,2.0,0.0,0.0,13.0,3.0,1.0,0.0
オコエ瑠偉,126.0,31.0,4.0,2.0,0.0,39.0,7.0,1.0,0.0
大城卓三,91.0,17.0,3.0,0.0,3.0,29.0,6.0,1.0,1.0
岡田悠希,18.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0
岡本和真,251.0,82.0,21.0,1.0,15.0,150.0,33.0,7.0,2.0
乙坂智,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
甲斐拓也,223.0,58.0,4.0,0.0,4.0,74.0,23.0,0.0,2.0
門脇誠,157.0,35.0,6.0,1.0,0.0,43.0,10.0,1.0,0.0
キャベッジ,431.0,115.0,26.0,1.0,17.0,194.0,37.0,5.0,2.0
菊地大稀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
岸田行倫,266.0,78.0,9.0,0.0,8.0,111.0,25.0,1.0,1.0
グリフィン,19.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
ケラー,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
郡拓也,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小林誠司,21.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0
坂本勇人,154.0,32.0,10.0,0.0,3.0,51.0,14.0,1.0,4.0
佐々木俊輔,141.0,35.0,4.0,1.0,0.0,41.0,10.0,0.0,0.0
笹原操希,20.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
重信慎之介,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
鈴木大和,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
