Game_ID,Team,Opponent,Order_1,Order_2,Order_3,Order_4,Order_5,Order_6,Order_7,Order_8,Order_9
cl2025032801,ヤクルト,巨人,西川,岩田,長岡,サンタナ,オスナ,赤羽,茂木,中村悠,奥川
cl2025032801,巨人,ヤクルト,若林,キャベッジ,吉川,岡本,ヘルナンデス,坂本,甲斐,門脇,戸郷
cl2025032802,中日,ＤｅＮＡ,岡林,山本,カリステ,石川昂,細川,中田,村松,木下,高橋宏
cl2025032802,ＤｅＮＡ,中日,梶原,牧,筒香,オースティン,宮崎,蝦名,山本,森敬,東
cl2025032803,阪神,広島,近本,中野,佐藤輝,森下,大山,前川,坂本,木浪,村上
cl2025032803,広島,阪神,二俣,矢野,小園,モンテロ,秋山,ファビアン,菊池,森下,会沢
cl2025032901,ヤクルト,巨人,西川,岩田,長岡,サンタナ,オスナ,赤羽,茂木,中村悠,吉村
cl2025032901,巨人,ヤクルト,若林,キャベッジ,吉川,岡本,ヘルナンデス,中山,甲斐,門脇,赤星
cl2025032902,中日,ＤｅＮＡ,岡林,村松,上林,石川昂,細川,カリステ,板山,木下,松葉
cl2025032902,ＤｅＮＡ,中日,梶原,牧,筒香,オースティン,宮崎,蝦名,山本,森敬,バウアー
cl2025032903,阪神,広島,近本,中野,佐藤輝,森下,大山,前川,坂本,木浪,富田
cl2025032903,広島,阪神,二俣,矢野,小園,モンテロ,秋山,ファビアン,菊池,石原,床田
cl2025033001,ヤクルト,巨人,赤羽,西川,サンタナ,オスナ,長岡,浜田,茂木,松本直,高橋
cl2025033001,巨人,ヤクルト,若林,キャベッジ,吉川,岡本,ヘルナンデス,坂本,甲斐,門脇,石川
cl2025033002,中日,ＤｅＮＡ,岡林,駿太,上林,石川昂,板山,カリステ,村松,木下,メヒア
cl2025033002,ＤｅＮＡ,中日,梶原,牧,佐野,筒香,宮崎,松尾,蝦名,森敬,平良
cl2025033003,阪神,広島,近本,中野,佐藤輝,森下,大山,前川,梅野,木浪,門別
cl2025033003,広島,阪神,二俣,矢野,小園,モンテロ,秋山,ファビアン,菊池,石原,森
cl2025040102,巨人,中日,オコエ,キャベッジ,吉川,岡本,ヘルナンデス,甲斐,中山,門脇,井上
cl2025040102,中日,巨人,岡林,山本,細川,石川昂,カリステ,中田,村松,木下,マラー
cl2025040103,ＤｅＮＡ,阪神,梶原,牧,三森,筒香,宮崎,佐野,山本,森敬,ジャクソン
cl2025040103,阪神,ＤｅＮＡ,近本,中野,佐藤輝,森下,大山,井上,木浪,坂本,才木
cl2025040201,広島,ヤクルト,二俣,矢野,小園,堂林,末包,菊池,ファビアン,会沢,大瀬良
cl2025040201,ヤクルト,広島,赤羽,長岡,サンタナ,オスナ,茂木,山田,宮本,古賀,山野
cl2025040202,巨人,中日,中山,キャベッジ,吉川,岡本,ヘルナンデス,甲斐,萩尾,門脇,山崎
cl2025040202,中日,巨人,岡林,上林,細川,石川昂,板山,カリステ,村松,石伊,柳
cl2025040203,ＤｅＮＡ,阪神,梶原,牧,三森,オースティン,宮崎,佐野,戸柱,森敬,大貫
cl2025040203,阪神,ＤｅＮＡ,近本,中野,佐藤輝,森下,大山,前川,木浪,梅野,ビーズリー
cl2025040301,広島,ヤクルト,二俣,矢野,小園,堂林,末包,ファビアン,菊池,石原,玉村
cl2025040301,ヤクルト,広島,赤羽,長岡,サンタナ,オスナ,茂木,山田,浜田,中村悠,小川
cl2025040302,巨人,中日,若林,キャベッジ,吉川,岡本,ヘルナンデス,甲斐,坂本,門脇,田中将
cl2025040302,中日,巨人,岡林,上林,細川,石川昂,板山,カリステ,村松,木下,大野
cl2025040303,ＤｅＮＡ,阪神,梶原,牧,三森,オースティン,宮崎,佐野,山本,森敬,ケイ
cl2025040303,阪神,ＤｅＮＡ,近本,中野,佐藤輝,森下,大山,前川,栄枝,小幡,デュプランティエ
cl2025040401,阪神,巨人,近本,中野,佐藤輝,森下,大山,前川,木浪,坂本,村上
cl2025040401,巨人,阪神,若林,キャベッジ,吉川,岡本,ヘルナンデス,甲斐,中山,門脇,戸郷
cl2025040402,中日,ヤクルト,岡林,村松,上林,石川昂,板山,中田,大島,加藤匠,高橋宏
cl2025040402,ヤクルト,中日,赤羽,長岡,西川,サンタナ,オスナ,茂木,浜田,松本直,高梨
cl2025040403,ＤｅＮＡ,広島,梶原,牧,三森,オースティン,佐野,京田,山本,森敬,石田裕
cl2025040403,広島,ＤｅＮＡ,二俣,矢野,小園,堂林,野間,ファビアン,田村,森下,会沢
cl2025040501,阪神,巨人,近本,中野,佐藤輝,森下,大山,前川,木浪,坂本,富田
cl2025040501,巨人,阪神,若林,キャベッジ,吉川,岡本,ヘルナンデス,甲斐,坂本,門脇,赤星
cl2025040502,中日,ヤクルト,岡林,上林,細川,石川昂,板山,中田,木下,村松,松葉
cl2025040502,ヤクルト,中日,赤羽,西川,サンタナ,オスナ,山田,長岡,中村悠,浜田,ランバート
cl2025040503,ＤｅＮＡ,広島,梶原,牧,佐野,オースティン,宮崎,蝦名,山本,森敬,東
cl2025040503,広島,ＤｅＮＡ,二俣,矢野,小園,堂林,ファビアン,末包,菊池,石原,床田
cl2025040601,阪神,巨人,近本,中野,佐藤輝,森下,大山,前川,木浪,梅野,門別
cl2025040601,巨人,阪神,萩尾,キャベッジ,吉川,岡本,甲斐,ヘルナンデス,中山,門脇,石川
cl2025040602,中日,ヤクルト,岡林,ブライト,カリステ,石川昂,板山,細川,村松,木下,メヒア
cl2025040602,ヤクルト,中日,赤羽,茂木,サンタナ,オスナ,山田,長岡,古賀,丸山和,奥川
cl2025040603,ＤｅＮＡ,広島,梶原,牧,三森,宮崎,佐野,松尾,蝦名,森敬,平良
cl2025040603,広島,ＤｅＮＡ,野間,矢野,小園,田村,末包,ファビアン,菊池,石原,森
cl2025040801,巨人,ＤｅＮＡ,若林,キャベッジ,吉川,岡本,ヘルナンデス,甲斐,中山,門脇,井上
cl2025040801,ＤｅＮＡ,巨人,梶原,牧,佐野,筒香,宮崎,山本,蝦名,森敬,ジャクソン
cl2025040802,広島,中日,二俣,矢野,小園,堂林,末包,ファビアン,菊池,石原,ドミンゲス
cl2025040802,中日,広島,岡林,ブライト,カリステ,石川昂,板山,細川,村松,木下,マラー
cl2025040803,ヤクルト,阪神,丸山和,長岡,サンタナ,オスナ,山田,茂木,赤羽,中村悠,高橋
cl2025040803,阪神,ヤクルト,近本,中野,渡辺,森下,大山,前川,梅野,木浪,才木
cl2025040901,巨人,ＤｅＮＡ,若林,キャベッジ,吉川,岡本,ヘルナンデス,甲斐,坂本,泉口,山崎
cl2025040901,ＤｅＮＡ,巨人,梶原,牧,三森,佐野,戸柱,筒香,度会,森敬,大貫
cl2025040902,広島,中日,田村,矢野,小園,末包,野間,ファビアン,菊池,大瀬良,会沢
cl2025040902,中日,広島,岡林,カリステ,板山,石川昂,細川,中田,村松,木下,柳
cl2025040903,ヤクルト,阪神,西川,長岡,サンタナ,オスナ,山田,茂木,赤羽,中村悠,石川
cl2025040903,阪神,ヤクルト,近本,中野,森下,大山,前川,木浪,梅野,小幡,ビーズリー
cl2025041001,広島,中日,二俣,矢野,小園,末包,ファビアン,菊池,田村,石原,玉村
cl2025041001,中日,広島,岡林,辻本,カリステ,石川昂,細川,中田,村松,石伊,大野
cl2025041102,中日,阪神,岡林,山本,上林,石川昂,ボスラー,細川,村松,加藤匠,高橋宏
cl2025041102,阪神,中日,近本,中野,佐藤輝,森下,大山,前川,木浪,坂本,村上
cl2025041103,巨人,広島,若林,坂本,吉川,岡本,キャベッジ,ヘルナンデス,甲斐,泉口,戸郷
