team,name,hand,ERA,K/9,HR/9,pitch_ストレート_share,pitch_フォーク_share,pitch_スライダー_share,pitch_カットボール_share,pitch_カーブ_share,pitch_ツーシーム_share,pitch_シュート_share,pitch_スローカーブ_share,pitch_チェンジアップ_share,pitch_シンカー_share,pitch_スプリット_share,pitch_ナックルカーブ_share,pitch_スラーブ_share,pitch_縦スライダー_share,pitch_パーム_share,pitch_スローボール_share,pitch_ワンシーム_share,pitch_パワーカーブ_share,pitch_スクリュー_share,pitch_高速スライダー_share
G,大勢,右投,0.88,11.85,0.0,62.7,27.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,西舘勇陽,右投,3.82,7.34,0.59,47.9,3.9,8.8,28.2,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,菅野智之,右投,1.67,6.38,0.34,26.7,16.1,20.8,20.3,8.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,山﨑伊織,右投,2.81,6.29,0.49,35.8,15.6,12.1,19.8,0.6,0.0,13.5,2.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,戸郷翔征,右投,1.95,7.8,0.6,48.6,28.0,18.4,0.0,4.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,今村信貴,左投,2.25,7.88,0.0,49.6,14.5,11.1,4.3,0.0,0.0,19.7,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,高橋礼,右投,3.66,4.24,0.58,59.2,0.0,19.6,0.0,1.2,9.9,0.0,0.0,0.6,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,グリフィン,左投,3.01,9.72,0.69,41.0,0.0,16.4,16.5,0.0,3.7,0.0,0.0,3.1,0.0,12.9,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,赤星優志,右投,3.12,5.16,0.96,42.6,14.5,5.3,10.0,16.2,2.7,8.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,ケラー,右投,1.53,10.34,0.96,65.9,0.0,1.2,0.0,23.5,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,馬場皐輔,右投,0.0,13.5,0.0,25.0,0.0,0.0,18.8,6.3,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,中川皓太,左投,8.76,5.11,2.19,43.4,0.0,30.1,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
