投手,チーム,打者,チーム,打率,打席,打数,安打,単打,二塁打,三塁打,本塁打,塁打,四球,死球,犠飛,三振,OPS,出塁率,長打率
Ｍ．ヤフーレ,ヤクルト,岡本　和真,巨人,0.308,15,13,4,2,2,0,0,6,2,0,0,1,0.862,0.4,0.462
高橋　奎二,ヤクルト,岡本　和真,巨人,0.5,12,10,5,2,1,0,2,12,2,0,0,2,1.783,0.583,1.2
吉村　貢司郎,ヤクルト,岡本　和真,巨人,0.182,12,11,2,1,1,0,0,3,1,0,0,2,0.523,0.25,0.273
サイスニード,ヤクルト,岡本　和真,巨人,0.636,11,11,7,5,1,0,1,11,0,0,0,0,1.636,0.636,1
小澤　怜史,ヤクルト,岡本　和真,巨人,0.167,7,6,1,1,0,0,0,1,1,0,0,1,0.453,0.286,0.167
Ｅ．ロドリゲス,ヤクルト,岡本　和真,巨人,0.167,7,6,1,1,0,0,0,1,1,0,0,2,0.453,0.286,0.167
木澤　尚文,ヤクルト,岡本　和真,巨人,0.286,7,7,2,0,2,0,0,4,0,0,0,2,0.857,0.286,0.571
山野　太一,ヤクルト,岡本　和真,巨人,0.4,6,5,2,1,0,0,1,5,1,0,0,1,1.5,0.5,1
小川　泰弘,ヤクルト,岡本　和真,巨人,0.75,6,4,3,0,1,0,2,10,2,0,0,0,3.333,0.833,2.5
大西　広樹,ヤクルト,岡本　和真,巨人,0.25,5,4,1,1,0,0,0,1,0,1,0,2,0.65,0.4,0.25
石山　泰稚,ヤクルト,岡本　和真,巨人,0.333,5,3,1,0,1,0,0,2,1,0,0,0,1.067,0.4,0.667
星　知弥,ヤクルト,岡本　和真,巨人,1,3,2,2,2,0,0,0,2,1,0,0,0,2,1,1
清水　昇,ヤクルト,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
石川　雅規,ヤクルト,岡本　和真,巨人,0,2,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0
奥川　恭伸,ヤクルト,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ｊ．エスパーダ,ヤクルト,岡本　和真,巨人,1,1,1,1,0,0,0,1,4,0,0,0,0,5,1,4
田口　麗斗,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
宮川　哲,ヤクルト,岡本　和真,巨人,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1
原　樹理,ヤクルト,岡本　和真,巨人,1,1,1,1,0,0,0,1,4,0,0,0,0,5,1,4
高梨　裕稔,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ａ．ケイ,DeNA,岡本　和真,巨人,0.417,22,12,5,3,0,0,2,11,8,2,0,0,1.599,0.682,0.917
Ａ．ジャクソン,DeNA,岡本　和真,巨人,0.3,12,10,3,2,0,0,1,6,2,0,0,1,1.017,0.417,0.6
山﨑　康晃,DeNA,岡本　和真,巨人,0.2,7,5,1,1,0,0,0,1,2,0,0,2,0.629,0.429,0.2
石田　裕太郎,DeNA,岡本　和真,巨人,0.429,7,7,3,3,0,0,0,3,0,0,0,1,0.858,0.429,0.429
東　克樹,DeNA,岡本　和真,巨人,0.2,6,5,1,0,1,0,0,2,1,0,0,2,0.733,0.333,0.4
大貫　晋一,DeNA,岡本　和真,巨人,0.667,5,3,2,1,1,0,0,3,2,0,0,1,1.8,0.8,1
吉野　光樹,DeNA,岡本　和真,巨人,0.4,5,5,2,2,0,0,0,2,0,0,0,1,0.8,0.4,0.4
森　唯斗,DeNA,岡本　和真,巨人,0.4,5,5,2,1,1,0,0,3,0,0,0,0,1,0.4,0.6
Ｒ．ウィック,DeNA,岡本　和真,巨人,0.333,5,3,1,0,0,0,1,4,2,0,0,0,1.933,0.6,1.333
森原　康平,DeNA,岡本　和真,巨人,0,4,3,0,0,0,0,0,0,1,0,0,1,0.25,0.25,0
上茶谷　大河,DeNA,岡本　和真,巨人,0.333,3,3,1,0,0,0,1,4,0,0,0,1,1.666,0.333,1.333
