投手,チーム,打者,チーム,打率,打席,打数,安打,単打,二塁打,三塁打,本塁打,塁打,四球,死球,犠飛,三振,OPS,出塁率,長打率
小川　泰弘,ヤクルト,岡本　和真,巨人,0.328,81,67,22,9,4,0,9,53,13,1,0,7,1.235,0.444,0.791
高橋　奎二,ヤクルト,岡本　和真,巨人,0.288,60,52,15,6,4,0,5,34,6,1,0,13,1.021,0.367,0.654
石川　雅規,ヤクルト,岡本　和真,巨人,0.268,52,41,11,4,2,0,5,28,10,1,0,3,1.106,0.423,0.683
原　樹理,ヤクルト,岡本　和真,巨人,0.219,34,32,7,4,0,0,3,16,2,0,0,6,0.765,0.265,0.5
小澤　怜史,ヤクルト,岡本　和真,巨人,0.207,33,29,6,5,0,0,1,9,4,0,0,5,0.613,0.303,0.31
高梨　裕稔,ヤクルト,岡本　和真,巨人,0.407,31,27,11,4,2,0,5,28,4,0,0,2,1.521,0.484,1.037
石山　泰稚,ヤクルト,岡本　和真,巨人,0.217,30,23,5,2,2,0,1,10,6,0,0,2,0.802,0.367,0.435
サイスニード,ヤクルト,岡本　和真,巨人,0.444,29,27,12,9,2,0,1,17,1,1,0,2,1.113,0.483,0.63
木澤　尚文,ヤクルト,岡本　和真,巨人,0.19,28,21,4,1,3,0,0,7,4,2,0,6,0.69,0.357,0.333
Ｄ．ブキャナン,ヤクルト,岡本　和真,巨人,0.304,24,23,7,6,1,0,0,8,1,0,0,1,0.681,0.333,0.348
近藤　一樹,ヤクルト,岡本　和真,巨人,0.455,22,22,10,7,0,0,3,19,0,0,0,6,1.319,0.455,0.864
Ａ．スアレス,ヤクルト,岡本　和真,巨人,0.235,21,17,4,2,0,0,2,10,3,0,0,5,0.921,0.333,0.588
星　知弥,ヤクルト,岡本　和真,巨人,0.438,21,16,7,5,1,0,1,11,5,0,0,1,1.259,0.571,0.688
奥川　恭伸,ヤクルト,岡本　和真,巨人,0.278,21,18,5,4,0,0,1,8,1,2,0,3,0.825,0.381,0.444
吉村　貢司郎,ヤクルト,岡本　和真,巨人,0.4,21,20,8,5,1,0,2,15,1,0,0,3,1.179,0.429,0.75
大西　広樹,ヤクルト,岡本　和真,巨人,0.4,20,15,6,2,2,0,2,14,4,1,0,2,1.483,0.55,0.933
梅野　雄吾,ヤクルト,岡本　和真,巨人,0.267,20,15,4,3,0,0,1,7,5,0,0,0,0.917,0.45,0.467
Ｓ．マクガフ,ヤクルト,岡本　和真,巨人,0.294,19,17,5,4,0,0,1,8,2,0,0,4,0.839,0.368,0.471
田口　麗斗,ヤクルト,岡本　和真,巨人,0.286,18,14,4,2,1,0,1,8,3,0,0,3,0.96,0.389,0.571
清水　昇,ヤクルト,岡本　和真,巨人,0.438,18,16,7,4,2,0,1,12,2,0,0,2,1.25,0.5,0.75
山野　太一,ヤクルト,岡本　和真,巨人,0.333,17,15,5,3,0,0,2,11,2,0,0,1,1.145,0.412,0.733
今野　龍太,ヤクルト,岡本　和真,巨人,0.125,17,16,2,2,0,0,0,2,0,0,0,4,0.243,0.118,0.125
Ｍ．ヤフーレ,ヤクルト,岡本　和真,巨人,0.308,15,13,4,2,2,0,0,6,2,0,0,1,0.862,0.4,0.462
大下　佑馬,ヤクルト,岡本　和真,巨人,0.231,14,13,3,2,0,0,1,6,0,1,0,2,0.748,0.286,0.462
坂本　光士郎,ヤクルト,岡本　和真,巨人,0.3,13,10,3,0,3,0,0,6,3,0,0,1,1.062,0.462,0.6
Ｄ．ハフ,ヤクルト,岡本　和真,巨人,0.3,11,10,3,1,0,0,2,9,1,0,0,5,1.264,0.364,0.9
風張　蓮,ヤクルト,岡本　和真,巨人,0.364,11,11,4,2,1,0,1,8,0,0,0,3,1.091,0.364,0.727
山田　大樹,ヤクルト,岡本　和真,巨人,0.222,10,9,2,1,0,0,1,5,1,0,0,2,0.856,0.3,0.556
Ｅ．ロドリゲス,ヤクルト,岡本　和真,巨人,0.25,10,8,2,1,1,0,0,3,2,0,0,2,0.775,0.4,0.375
Ｐ．ランバート,ヤクルト,岡本　和真,巨人,0.444,9,9,4,3,1,0,0,5,0,0,0,4,1,0.444,0.556
Ｄ．ピーターズ,ヤクルト,岡本　和真,巨人,0.444,9,9,4,1,1,0,2,11,0,0,0,1,1.666,0.444,1.222
Ｍ．カラシティー,ヤクルト,岡本　和真,巨人,0.375,9,8,3,2,1,0,0,4,1,0,0,2,0.944,0.444,0.5
長谷川　宙輝,ヤクルト,岡本　和真,巨人,0.429,8,7,3,3,0,0,0,3,1,0,0,2,0.929,0.5,0.429
吉田　大喜,ヤクルト,岡本　和真,巨人,0.429,8,7,3,1,0,0,2,9,1,0,0,1,1.786,0.5,1.286
金久保　優斗,ヤクルト,岡本　和真,巨人,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
寺島　成輝,ヤクルト,岡本　和真,巨人,0.333,6,6,2,2,0,0,0,2,0,0,0,1,0.666,0.333,0.333
市川　悠太,ヤクルト,岡本　和真,巨人,0.333,5,3,1,0,1,0,0,2,1,1,0,0,1.267,0.6,0.667
中尾　輝,ヤクルト,岡本　和真,巨人,0.5,4,4,2,1,0,0,1,5,0,0,0,2,1.75,0.5,1.25
中澤　雅人,ヤクルト,岡本　和真,巨人,0,4,3,0,0,0,0,0,0,1,0,0,1,0.25,0.25,0
荘司　宏太,ヤクルト,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Ａ．Ｊ．コール,ヤクルト,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
