team,name,G,IP,H,HR,SO,ERA
巨人,赤星優志,21,75,66,8,43,3.12
巨人,泉圭輔,35,37.1,28,0,30,1.93
巨人,伊藤優輔,8,8.2,5,0,8,1.04
巨人,井上温大,25,101,87,5,99,2.76
巨人,今村信貴,7,8,6,0,7,2.25
巨人,大江竜聖,16,13.2,9,1,13,2.63
巨人,京本眞,4,5,4,0,3,3.60
巨人,グリフィン,20,116.2,99,9,126,3.01
巨人,ケラー,52,47,24,5,54,1.53
巨人,菅野智之,24,156.2,132,6,111,1.67
巨人,大勢,43,41,28,0,54,0.88
巨人,高梨雄平,51,35.1,26,1,29,2.04
巨人,高橋礼,11,46.2,42,3,22,3.66
巨人,田中千晴,3,4,2,0,4,0.00
巨人,戸郷翔征,26,180,129,12,156,1.95
巨人,中川皓太,15,12.1,19,3,7,8.76
巨人,西舘勇陽,28,30.2,22,2,25,3.82
巨人,バルドナード,58,51.2,40,1,63,2.44
巨人,畠世周,1,3,1,1,3,3.00
巨人,馬場皐輔,1,0.2,1,0,1,0.00
巨人,船迫大雅,51,38,28,4,23,2.37
巨人,平内龍太,31,33.1,35,4,22,2.16
巨人,堀田賢慎,17,51.1,43,2,30,2.45
巨人,又木鉄平,3,10.1,11,2,7,6.10
巨人,松井颯,2,1.1,2,1,1,13.50
巨人,メンデス,2,4.1,6,0,4,12.46
巨人,山﨑伊織,24,147.1,140,8,103,2.81
巨人,横川凱,12,28.2,23,0,9,0.94
阪神,青柳晃洋,12,61,66,2,35,3.69
阪神,石井大智,56,48.2,34,0,58,1.48
阪神,石黒佑弥,3,3.1,6,0,3,5.40
阪神,伊藤将司,18,74,90,5,33,4.62
阪神,岩崎優,60,57.1,48,3,46,2.20
阪神,岩貞祐太,2,1.2,1,0,2,5.40
阪神,漆原大晟,38,34.2,38,0,22,3.89
阪神,大竹耕太郎,24,144.2,134,8,91,2.80
阪神,岡留英貴,35,38,36,1,24,2.84
阪神,及川雅貴,9,29.1,25,2,23,2.76
阪神,加治屋蓮,13,12,11,0,12,4.50
阪神,川原陸,1,1,1,0,2,0.00
阪神,桐敷拓馬,70,65.1,48,0,60,1.79
阪神,ゲラ,59,58,47,3,48,1.55
阪神,才木浩人,25,167.2,140,4,137,1.83
阪神,佐藤蓮,1,1,0,0,1,0.00
阪神,島本浩也,33,25.2,27,1,10,2.81
阪神,髙橋遥人,5,29.2,20,0,28,1.52
阪神,富田蓮,33,35.2,26,1,22,0.76
阪神,西純矢,4,6.2,5,0,0,2.70
阪神,西勇輝,21,124.2,113,5,71,2.24
阪神,浜地真澄,18,21.1,17,2,9,2.11
阪神,ビーズリー,14,76.2,53,6,75,2.47
阪神,村上頌樹,25,153.2,143,7,130,2.58
阪神,門別啓人,5,12,15,1,8,4.50
DeNA,東克樹,26,183,166,11,140,2.16
DeNA,石川達也,15,14,15,1,8,1.93
DeNA,石田健大,6,32,28,5,24,3.38
DeNA,石田裕太郎,12,59,76,4,39,3.97
DeNA,伊勢大夢,37,32.1,28,5,28,3.62
DeNA,ウィック,43,45,36,3,50,2.60
DeNA,ウェンデルケン,28,26.1,20,1,25,1.71
DeNA,大貫晋一,15,88.1,78,6,58,2.85
DeNA,上茶谷大河,18,22.2,32,3,16,4.37
DeNA,京山将弥,23,22.1,18,0,20,2.01
DeNA,ケイ,24,136.2,130,6,119,3.42
DeNA,小園健太,1,2.2,7,0,3,16.88
DeNA,坂本裕哉,48,45,43,3,39,2.20
DeNA,佐々木千隼,28,37,30,3,28,1.95
DeNA,ジャクソン,25,143,109,8,121,2.90
DeNA,平良拳太郎,4,29.2,24,1,22,1.21
DeNA,ディアス,7,4.2,2,0,1,0.00
DeNA,徳山壮磨,29,29.1,27,1,12,2.45
DeNA,中川虎大,31,31,29,2,30,3.19
DeNA,中川颯,29,57,65,3,36,4.42
DeNA,濵口遥大,11,52.2,47,3,45,3.25
DeNA,堀岡隼人,6,6,5,0,6,0.00
DeNA,松本隆之介,1,5,6,0,4,3.60
DeNA,松本凌人,10,10.2,10,0,3,5.91
DeNA,三嶋一輝,7,7,6,1,7,5.14
DeNA,宮城滝太,1,2,3,0,4,13.50
DeNA,森唯斗,14,32.1,50,4,25,7.52
DeNA,森原康平,58,59.2,54,3,59,2.41
DeNA,山﨑康晃,38,37.2,35,4,29,3.35
DeNA,吉野光樹,7,31.1,34,5,29,4.31
広島,アドゥワ誠,20,106.1,102,9,61,3.13
広島,遠藤淳志,3,4,5,0,0,4.50
広島,大瀬良大地,25,155,118,5,98,1.86
広島,大道温貴,4,4.1,9,3,2,10.38
広島,河野佳,13,16.2,20,1,17,2.16
広島,九里亜蓮,23,131.2,115,12,95,3.21
広島,栗林良吏,60,55,33,3,65,1.96
広島,黒原拓未,53,59.2,40,2,67,2.11
広島,ケムナ誠,5,5,6,0,5,1.80
広島,コルニエル,16,17,15,1,14,2.65
広島,島内颯太郎,58,55.1,43,2,53,2.77
広島,髙太一,1,2,1,0,2,0.00
広島,高橋昂也,1,1,0,0,1,0.00
広島,滝田一希,1,4,2,0,5,2.25
広島,玉村昇悟,15,76,77,3,58,2.96
広島,常廣羽也斗,2,11,15,0,7,2.45
広島,床田寛樹,26,167,170,9,95,2.48
広島,中﨑翔太,24,23,24,1,16,1.96
広島,野村祐輔,3,11,11,1,8,2.45
広島,ハーン,35,35,18,1,26,1.29
広島,ハッチ,5,22,28,5,18,7.36
広島,長谷部銀次,5,7,1,0,4,0.00
広島,塹江敦哉,53,40,39,0,38,1.58
広島,益田武尚,10,8.1,12,2,9,6.48
広島,松本竜也,12,12.2,9,1,10,2.84
広島,森翔平,5,26.2,25,1,17,2.70
広島,森浦大輔,53,46.2,40,1,43,2.51
広島,森下暢仁,23,151.2,137,6,98,2.55
広島,矢崎拓也,26,25,22,2,17,3.60
ヤクルト,石川雅規,9,37.1,45,4,10,4.10
ヤクルト,石原勇輝,1,1,1,0,0,9.00
ヤクルト,石山泰稚,37,41.1,53,2,39,4.35
ヤクルト,エスパーダ,24,27,27,3,16,5.00
ヤクルト,大西広樹,60,60.1,53,3,31,1.34
ヤクルト,小川泰弘,12,62,75,6,40,4.65
ヤクルト,奥川恭伸,7,32.2,29,4,12,2.76
ヤクルト,尾仲祐哉,1,2,3,1,0,18.00
ヤクルト,金久保優斗,5,7.2,5,1,8,3.52
ヤクルト,嘉弥真新也,9,4.1,12,0,4,14.54
ヤクルト,木澤尚文,55,53,50,4,46,3.06
ヤクルト,小澤怜史,40,77.2,64,6,66,2.55
ヤクルト,今野龍太,6,6.1,7,0,4,0.00
